Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Phases,Funded Bys,Study Type,Start Date,Completion Date,URL
1895,Feasibility Study of a Percutaneous Mitral Valve Repair System.,Completed,Has Results,Mitral Valve Insufficiency|Mitral Valve Regurgitation|Mitral Valve Incompetence|Mitral Regurgitation|Mitral Insufficiency,Device: Percutaneous mitral valve repair (MitraClip Implant),Abbott Medical Devices,Abbott Medical Devices,,,,,,,Phase 1|Phase 2,Industry,Interventional,7/3/2019,10/11/2019,https://ClinicalTrials.gov/show/NCT00209339
1896,Pivotal Study of a Percutaneous Mitral Valve Repair System,Completed,Has Results,Mitral Valve Insufficiency|Mitral Valve Regurgitation|Mitral Valve Incompetence|Mitral Regurgitation|Mitral Insufficiency,Device: Percutaneous mitral valve repair using MitraClip implant|Procedure: Mitral valve repair or replacement surgery,Abbott Medical Devices,Abbott Medical Devices,,,,,,,Not Applicable,Industry,Interventional,8/5/2019,12/14/2019,https://ClinicalTrials.gov/show/NCT00209274
1897,Effect of Rifampin on the Pharmacokinetics of Ixabepilone in Patients With Advanced Cancer,Completed,Has Results,Advanced Solid Tumors|Neoplasms,Drug: ixabepilone|Drug: Rifampin,R-Pharm,R-Pharm,,,,,,,Phase 1,Industry,Interventional,9/5/2019,11/8/2019,https://ClinicalTrials.gov/show/NCT00207090
1898,Study Evaluating Pneumococcal Vaccine in Healthy Infants,Completed,Has Results,Healthy Subjects|Pneumococcal Infections,Biological: 13-Valent Pneumococcal Conjugate Vaccine (13vPnC)|Biological: 7-Valent Pneumococcal Conjugate Vaccine (7vPnC),Wyeth is now a wholly owned subsidiary of Pfizer,Wyeth is now a wholly owned subsidiary of Pfizer,,,,,,,Phase 1|Phase 2,Industry,Interventional,9/4/2019,5/7/2019,https://ClinicalTrials.gov/show/NCT00205803
1899,Malignant Obstruction ZILVER Against Routine Therapy (MOZART I),Completed,Has Results,"Biliary Tract Neoplasms|Pancreatic Neoplasms|Jaundice, Obstructive",Device: 6 mm Nitinol Zilver Stent|Device: 10 mm Nitinol Zilver Stent|Device: 10 mm Stainless Steel Wallstent,Cook Group Incorporated,Cook Group Incorporated,,,,,,,Not Applicable,Industry,Interventional,9/3/2019,12/6/2019,https://ClinicalTrials.gov/show/NCT00196105
1900,Study Comparing Etanercept and Methotrexate vs. Methotrexate Alone in Rheumatoid Arthritis,Completed,Has Results,Rheumatoid Arthritis,Drug: Etanercept|Drug: Methotrexate|Drug: Placebo,Wyeth is now a wholly owned subsidiary of Pfizer,Wyeth is now a wholly owned subsidiary of Pfizer,,,,,,,Phase 4,Industry,Interventional,11/4/2019,3/8/2019,https://ClinicalTrials.gov/show/NCT00195494
1901,"Study to Evaluate the Safety, Tolerability,Immunogenicity, and Pharmacokinetics of MEDI-528 in Healthy Adult Volunteers",Completed,Has Results,Asthma,Biological: MEDI-528 0.3 mg/kg|Biological: MEDI-528 1 mg/kg|Biological: MEDI-528 3 mg/kg|Biological: MEDI-528 9 mg/kg,MedImmune LLC,MedImmune LLC,,,,,,,Phase 1,Industry,Interventional,8/4/2019,3/5/2019,https://ClinicalTrials.gov/show/NCT00192296
1902,A Study of Gemcitabine and Carboplatin (Plus Herceptin in Human Epidermal Growth Factor Receptor 2 Positive [HER2+] Patients) With Metastatic Breast Cancer,Completed,Has Results,Breast Cancer,Drug: Gemcitabine|Drug: Carboplatin|Drug: Herceptin,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 2,Industry,Interventional,4/4/2019,10/8/2019,https://ClinicalTrials.gov/show/NCT00191451
1903,A Trial for Patients With Advanced/Recurrent Cervical Cancer,Completed,Has Results,"Cervical Intraepithelial Neoplasia|Uterine Neoplasms|Genital Neoplasms, Female",Drug: Pemetrexed,Eli Lilly and Company|Gynecologic Oncology Group,Eli Lilly and Company,Gynecologic Oncology Group,,,,,,Phase 2,Industry|Other,Interventional,2/5/2019,10/7/2019,https://ClinicalTrials.gov/show/NCT00190983
1904,Safety Study of Olanzapine and a Comparator in Patients With Schizophrenia and Schizoaffective Disorder,Completed,Has Results,Schizophrenia|Schizoaffective Disorder,Drug: olanzapine|Drug: risperidone,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 4,Industry,Interventional,10/3/2019,6/8/2019,https://ClinicalTrials.gov/show/NCT00190749
1905,Response of Cardiac Resynchronization Therapy Optimization With Ventricle to Ventricle Timing in Heart Failure Patients,Completed,Has Results,Heart Failure,Device: Simultaneous VV Pacing|Device: Sequential VV Pacing,Abbott Medical Devices,Abbott Medical Devices,,,,,,,Phase 4,Industry,Interventional,1/5/2019,4/10/2019,https://ClinicalTrials.gov/show/NCT00187200
1906,MADIT-CRT: Multicenter Automatic Defibrillator Implantation With Cardiac Resynchronization Therapy,Completed,Has Results,Tachycardia|Congestive Heart Failure,Device: Cardiac resynchronization therapy with defibrillation|Device: Implantable Cardioverter Defibrillator (ICD),Boston Scientific Corporation|University of Rochester,Boston Scientific Corporation,University of Rochester,,,,,,Not Applicable,Industry|Other,Interventional,12/4/2019,9/10/2019,https://ClinicalTrials.gov/show/NCT00180271
1907,Maintenance Intermittent Therapy for Symptomatic GERD Patients,Completed,Has Results,Gastroesophageal Reflux Disease,Drug: Rabeprazole 20 mg,Eisai Inc.,Eisai Inc.,,,,,,,Phase 2,Industry,Interventional,10/4/2019,6/8/2019,https://ClinicalTrials.gov/show/NCT00165841
1908,The EASYTRAK EPI Clinical Investigation,Completed,Has Results,Bradycardia|Congestive Heart Failure,Device: EASYTRAK EPI lead,Boston Scientific Corporation,Boston Scientific Corporation,,,,,,,Not Applicable,Industry,Interventional,9/4/2019,2/8/2019,https://ClinicalTrials.gov/show/NCT00158925
1909,RIGHT: Rhythm ID Going Head-to-Head Trial,Completed,Has Results,Tachycardia,Device: VITALITY 2 Implantable Cardioverter Defibrillator|Device: Medtronic Implantable Cardioverter Defibrillator,Boston Scientific Corporation,Boston Scientific Corporation,,,,,,,Phase 4,Industry,Interventional,7/5/2019,7/10/2019,https://ClinicalTrials.gov/show/NCT00148954
1910,Effects of Colesevelam on How the Body Responds to Insulin in Patients With Type 2 Diabetes,Completed,Has Results,Type 2 Diabetes,Drug: Colesevelam|Drug: Colesevelam matching placebo|Drug: Insulin glargine (Lantus),"Daiichi Sankyo, Inc.","Daiichi Sankyo, Inc.",,,,,,,Phase 2,Industry,Interventional,6/5/2019,1/8/2019,https://ClinicalTrials.gov/show/NCT00147745
1911,PEGASUS CRT Study: Atrial Support Study in Cardiac Resynchronization Therapy,Completed,Has Results,Heart Failure,Device: Atrial support pacing through cardiac resynchronization therapy. Device: RENEWAL family of CRT-D devices,Boston Scientific Corporation,Boston Scientific Corporation,,,,,,,Phase 4,Industry,Interventional,12/4/2019,2/9/2019,https://ClinicalTrials.gov/show/NCT00146848
1912,Pharmacokinetic Study of Liposomal Vincristine in Patients With Malignant Melanoma & Hepatic Dysfunction,Completed,Has Results,Malignant Melanoma,Drug: Vincristine Sulfate Liposomes Injection,"Spectrum Pharmaceuticals, Inc","Spectrum Pharmaceuticals, Inc",,,,,,,Phase 1,Industry,Interventional,2/5/2019,11/7/2019,https://ClinicalTrials.gov/show/NCT00145041
1913,"Zoledronic Acid in the Prevention of Bone Loss in Postmenopausal Women With Osteopenia, 45 Years of Age and Older",Completed,Has Results,Osteopenia,Drug: Zoledronic Acid|Drug: Placebo,Novartis Pharmaceuticals|Novartis,Novartis Pharmaceuticals,Novartis,,,,,,Phase 3,Industry,Interventional,7/4/2019,2/8/2019,https://ClinicalTrials.gov/show/NCT00132808
1914,Magnetic Resonance (MR) Guided Focused Ultrasound Surgery of Uterine Fibroids,Completed,Has Results,Leiomyoma,Device: ExAblate 2000,InSightec,InSightec,,,,,,,Not Applicable,Industry,Interventional,1/6/2019,2/9/2019,https://ClinicalTrials.gov/show/NCT00131365
1915,Meta-Iodobenzylguanidine (123I-mIBG) Scintigraphy Imaging in Patients With Heart Failure and Control Subjects Without Cardiovascular Disease,Completed,Has Results,"Heart Failure, Congestive",Drug: 123I-mIBG (meta-iodobenzylguanidine),GE Healthcare,GE Healthcare,,,,,,,Phase 3,Industry,Interventional,7/5/2019,9/8/2019,https://ClinicalTrials.gov/show/NCT00126438
1916,Meta-Iodobenzylguanidine Scintigraphy Imaging in Patients With Heart Failure and Control Subjects Without Cardiovascular Disease,Completed,Has Results,"Heart Failure, Congestive",Drug: 123I-mIBG (meta-iodobenzylguanidine),GE Healthcare,GE Healthcare,,,,,,,Phase 3,Industry,Interventional,7/5/2019,12/8/2019,https://ClinicalTrials.gov/show/NCT00126425
1917,Recombinant Human Insulin-Like Growth Factor (rhIGF-1) Treatment of Short Stature Associated With IGF-1 Deficiency,Completed,Has Results,Insulin-Like Growth Factor-1 Deficiency|Growth Disorders,Drug: rhIGF-1 (mecasermin) for a period of 86 weeks,Ipsen,Ipsen,,,,,,,Phase 2|Phase 3,Industry,Interventional,7/5/2019,1/9/2019,https://ClinicalTrials.gov/show/NCT00125190
1918,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficiency,Completed,Has Results,Growth Disorders|Insulin-Like Growth Factor-1 Deficiency,"Drug: rhIGF-1 (mecasermin, Tercica, Inc.)",Ipsen,Ipsen,,,,,,,Phase 3,Industry,Interventional,3/4/2019,7/8/2019,https://ClinicalTrials.gov/show/NCT00125164
1919,Organization of Teratology Information Services (OTIS) Autoimmune Diseases in Pregnancy Project,Completed,Has Results,Pregnancy,Drug: Etanercept,Amgen,Amgen,,,,,,,,Industry,Observational,4/5/2019,6/14/2019,https://ClinicalTrials.gov/show/NCT00116272
1920,Combination Chemotherapy With or Without Bevacizumab in Treating Patients Who Have Undergone Surgery for High Risk Stage II or Stage III Colon Cancer,Completed,Has Results,Colorectal Cancer,Biological: Bevacizumab|Drug: Capecitabine|Drug: 5-Fluorouracil (5-FU)|Drug: Leucovorin calcium|Drug: Oxaliplatin,Hoffmann-La Roche|National Cancer Institute (NCI),Hoffmann-La Roche,National Cancer Institute (NCI),,,,,,Phase 3,Industry|NIH,Interventional,12/4/2019,6/12/2019,https://ClinicalTrials.gov/show/NCT00112918
1921,Comparison of Telavancin and Vancomycin for Complicated Skin and Skin Structure Infections With a Focus on Methicillin-resistant Staphylococcus Aureus,Completed,Has Results,Staphylococcal Skin Infection,Drug: Telavancin|Drug: Vancomycin,Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,2/5/2019,5/6/2019,https://ClinicalTrials.gov/show/NCT00107978
1922,Comparison of Telavancin and Vancomycin for Hospital-acquired Pneumonia Due to Methicillin-resistant Staphylococcus Aureus,Completed,Has Results,Bacterial Pneumonia,Drug: Telavancin|Drug: Vancomycin,Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,2/5/2019,7/7/2019,https://ClinicalTrials.gov/show/NCT00107952
1923,Study of the Efficacy and Safety of DU-176b in Preventing Blood Clots in Patients Undergoing Total Hip Replacement,Completed,Has Results,"Arthroplasty, Replacement, Hip|Thrombosis",Drug: DU-176b,"Daiichi Sankyo, Inc.","Daiichi Sankyo, Inc.",,,,,,,Phase 2,Industry,Interventional,1/5/2019,12/5/2019,https://ClinicalTrials.gov/show/NCT00107900
1924,Pemetrexed as the First Treatment in Advanced or Metastatic Breast Cancer,Completed,Has Results,"Breast Cancer|Breast Neoplasms, Male|Carcinoma, Ductal",Drug: pemetrexed,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 2,Industry,Interventional,4/5/2019,12/7/2019,https://ClinicalTrials.gov/show/NCT00106002
1925,Study of rhASB in Patients With Mucopolysaccharidosis VI,Completed,Has Results,Mucopolysaccharidosis VI,Drug: N-acetylgalactosamine 4-sulfatase|Drug: Placebo/rhASB,BioMarin Pharmaceutical,BioMarin Pharmaceutical,,,,,,,Phase 3,Industry,Interventional,2/4/2019,10/6/2019,https://ClinicalTrials.gov/show/NCT00104234
1926,Subcutaneous Treatment With Icatibant for Acute Attacks of Hereditary Angioedema,Completed,Has Results,Angioedema,Drug: Icatibant|Drug: Placebo,Shire,Shire,,,,,,,Phase 3,Industry,Interventional,8/4/2019,3/8/2019,https://ClinicalTrials.gov/show/NCT00097695
1927,Safety and Efficacy of Adefovir Dipivoxil in Children and Adolescents With Chronic Hepatitis B,Completed,Has Results,Chronic Hepatitis B,Drug: Placebo (PLB)|Drug: Adefovir Dipivoxil (ADV)|Drug: Lamivudine,Gilead Sciences,Gilead Sciences,,,,,,,Phase 3,Industry,Interventional,6/4/2019,4/10/2019,https://ClinicalTrials.gov/show/NCT00095121
1928,Comparison of Telavancin and Vancomycin for Complicated Skin and Skin Structure Infections With a Focus on Methicillin-resistant Staphylococcus Aureus,Completed,Has Results,Staphylococcal Skin Infection,Drug: Telavancin|Drug: Vancomycin,Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,1/5/2019,6/6/2019,https://ClinicalTrials.gov/show/NCT00091819
1929,A Study of Xeloda (Capecitabine) in Women With High-Risk Breast Cancer,Completed,Has Results,Breast Cancer,Drug: capecitabine [Xeloda]|Drug: Taxotere,Hoffmann-La Roche,Hoffmann-La Roche,,,,,,,Phase 3,Industry,Interventional,8/2/2019,5/12/2019,https://ClinicalTrials.gov/show/NCT00089479
1930,Phase 2 Trial of TD-6424 (Telavancin) Versus Standard Therapy for Complicated Gram Positive Skin and Skin Structure Infections (Gram Positive cSSSI),Completed,Has Results,"Infections, Gram-positive Bacterial",Drug: Telavancin|Drug: vancomycin or antistaphylococcal penicillin,Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,2/4/2019,9/4/2019,https://ClinicalTrials.gov/show/NCT00077675
1931,AG-013736 (Axitinib) In Patients With Poor Prognosis Acute Myeloid Leukemia (AML) Or Myelodysplastic Syndrome (MDS),Completed,Has Results,Acute Myeloid Leukemia (AML)|Myelodysplastic Syndrome,Drug: AG-013736 (Axitinib),Pfizer,Pfizer,,,,,,,Phase 2,Industry,Interventional,9/3/2019,7/4/2019,https://ClinicalTrials.gov/show/NCT00071006
1932,Study of Recombinant Human N-acetylgalactosamine 4-sulfatase (rhASB) in Patients With MPS VI,Completed,Has Results,Mucopolysaccharidosis VI,Drug: Placebo|Drug: N-acetylgalactosamine 4-sulfatase,BioMarin Pharmaceutical,BioMarin Pharmaceutical,,,,,,,Phase 3,Industry,Interventional,9/3/2019,3/4/2019,https://ClinicalTrials.gov/show/NCT00067470
1933,Telavancin for Treatment of Uncomplicated Staphylococcus Aureus Bacteremia,Completed,Has Results,Gram-Positive Bacterial Infections,"Drug: Telavancin|Drug: Vancomycin, nafcillin, oxacillin, or cloxacillin",Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,8/3/2019,8/6/2019,https://ClinicalTrials.gov/show/NCT00062647
1934,Phase 2 Trial of TD 6424 (Telavancin) Versus Standard Therapy for Complicated Gram Positive Skin and Skin Structure Infections (Gram Positive cSSSI),Completed,Has Results,"Infections, Gram-Positive Bacterial|Abscess|Burns|Cellulitis|Ulcer|Wound Infections",Drug: Telavancin|Drug: Vancomycin or antistaphylococcal penicillin,Cumberland Pharmaceuticals,Cumberland Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,6/3/2019,1/4/2019,https://ClinicalTrials.gov/show/NCT00061633
1935,A Long-term Safety Study of Once-daily Travatan,Completed,Has Results,"Glaucoma, Open-angle|Ocular Hypertension",Drug: Travatan,Alcon Research,Alcon Research,,,,,,,Phase 3,Industry,Interventional,1/6/2019,,https://ClinicalTrials.gov/show/NCT00051168
1936,Safety Study of rhuMAb 2C4 to Treat Advanced Solid Tumors,Completed,Has Results,Neoplasms,Drug: rhuMAb 2C4,"Genentech, Inc.","Genentech, Inc.",,,,,,,Phase 1,Industry,Interventional,11/1/2019,8/3/2019,https://ClinicalTrials.gov/show/NCT00027027
1937,A Pivotal Study to Assess the Effectiveness of Nasal Dilator (Breathe Right Nasal Strips),Completed,Has Results,"Congestion, Nasal",Device: Breathe Right Tan (small/medium) nasal strips|Other: Placebo nasal strip,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,11/4/2010,2/17/2011,https://ClinicalTrials.gov/show/NCT03549130
1938,A Pivotal Subjective Sleep Study of a Nasal Dilator (Breathe Right Tan),Completed,Has Results,"Congestion, Nasal",Device: Breathe Right Tan (small/medium) nasal strips|Other: Placebo nasal strip,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,10/25/2010,1/14/2011,https://ClinicalTrials.gov/show/NCT03549117
1939,Vitabreath Pilot in Chronic Obstructive Pulmonary Disease (COPD) Patients,Completed,Has Results,COPD|Dyspnea,Device: Vitabreath Device|Other: Pursed Lip Breathing,Philips Respironics,Philips Respironics,,,,,,,Not Applicable,Industry,Interventional,11/6/2017,2/20/2018,https://ClinicalTrials.gov/show/NCT03349437
1940,SM-1 vs 2 Comparators and Placebo in Participants With a History of Transient Insomnia.,Completed,Has Results,Transient Insomnia,Drug: SM-1|Drug: D+Z|Drug: D+L|Drug: Placebo,Sequential Medicine Ltd,Sequential Medicine Ltd,,,,,,,Phase 3,Industry,Interventional,10/9/2017,3/22/2018,https://ClinicalTrials.gov/show/NCT03331042
1941,"A Study to Assess the Effect of Intensive Uric Acid (UA) Lowering Therapy With RDEA3170, Febuxostat, Dapagliflozin on Urinary Excretion of UA",Completed,Has Results,Asymptomatic Hyperuricemia,Drug: Verinurad|Drug: Febuxostat|Drug: Dapagliflozin|Other: Dapagliflozin matched placebo,"AstraZeneca|Contract Research Organization: USA|PAREXEL Early Phase Clinical Unit Baltimore|PAREXEL Early Phase Clinical Unit-Los Angeles|Clinical Laboratory: USA|Harbor Hospital Laboratory|GenX Laboratories Inc.|Analytical Laboratory (Pharmacokinetic Sample Analysis): USA|Covance Bioanalytical Services, LLC",AstraZeneca,Contract Research Organization: USA,"PAREXEL Early Phase Clinical Unit Baltimore|PAREXEL Early Phase Clinical Unit-Los Angeles|Clinical Laboratory: USA|Harbor Hospital Laboratory|GenX Laboratories Inc.|Analytical Laboratory (Pharmacokinetic Sample Analysis): USA|Covance Bioanalytical Services, LLC",PAREXEL Early Phase Clinical Unit Baltimore,"PAREXEL Early Phase Clinical Unit-Los Angeles|Clinical Laboratory: USA|Harbor Hospital Laboratory|GenX Laboratories Inc.|Analytical Laboratory (Pharmacokinetic Sample Analysis): USA|Covance Bioanalytical Services, LLC",PAREXEL Early Phase Clinical Unit-Los Angeles,"Clinical Laboratory: USA|Harbor Hospital Laboratory|GenX Laboratories Inc.|Analytical Laboratory (Pharmacokinetic Sample Analysis): USA|Covance Bioanalytical Services, LLC",Phase 2,Industry|Other,Interventional,10/25/2017,7/19/2018,https://ClinicalTrials.gov/show/NCT03316131
1942,Pediatric Ease of Use ELLIPTA Items,Completed,Has Results,Asthma,Other: Interviewer administered version of ease of use items|Other: Self-administered version of ease of use items|Other: Caregiver version of ease of use items,GlaxoSmithKline|RTI Health Solutions(RTI HS),GlaxoSmithKline,RTI Health Solutions(RTI HS),,,,,,,Industry|Other,Observational,10/17/2017,12/1/2017,https://ClinicalTrials.gov/show/NCT03315572
1943,Gaming Technology to Engage Adolescent Sickle Cell Patients in Pain Management,Completed,Has Results,Sickle Cell Disease,Other: Pinpoint App,"Klein Buendel, Inc.|Hilton Publishing Company|National Institute on Minority Health and Health Disparities (NIMHD)","Klein Buendel, Inc.",Hilton Publishing Company,National Institute on Minority Health and Health Disparities (NIMHD),,,,,Not Applicable,Industry|Other|NIH,Interventional,1/15/2017,9/30/2017,https://ClinicalTrials.gov/show/NCT03291613
1944,Pharmacokinetics (PK) and Safety of a Single Intravenous (IV) Dose of MK-3866 in Participants With Impaired Renal Function and in Healthy Controls (MK-3866-005),Completed,Has Results,Renal Impairment,Drug: MK-3866,Merck Sharp & Dohme Corp.,Merck Sharp & Dohme Corp.,,,,,,,Phase 1,Industry,Interventional,9/1/2017,2/9/2018,https://ClinicalTrials.gov/show/NCT03259087
1945,Study of Buprenorphine Sublingual Spray Versus Standard of Care Narcotic Therapy for the Treatment of Post-Operative Pain,Completed,Has Results,"Pain, Postoperative",Drug: Buprenorphine Sublingual Spray|Drug: Morphine|Drug: Oxycodone Hydrochloride|Drug: Zofran,INSYS Therapeutics Inc,INSYS Therapeutics Inc,,,,,,,Phase 2,Industry,Interventional,9/12/2017,11/13/2017,https://ClinicalTrials.gov/show/NCT03254459
1946,Study of Netarsudil Ophthalmic Solution in Subjects With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT),Completed,Has Results,Primary Open Angle Glaucoma or Ocular Hypertension,Drug: Netarsudil Ophthalmic Solution 0.02%|Other: Placebo Comparator,Aerie Pharmaceuticals,Aerie Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,10/20/2017,4/19/2018,https://ClinicalTrials.gov/show/NCT03233308
1947,Accuracy of Methemoglobin Measurement for Rainbow Universal Pulse Oximeter Sensor,Completed,Has Results,Healthy,Device: Rainbow Universal Pulse Oximeter Sensor,Masimo Corporation,Masimo Corporation,,,,,,,Not Applicable,Industry,Interventional,4/12/2012,6/21/2012,https://ClinicalTrials.gov/show/NCT03125005
1948,Accuracy of Hemoglobin Measurement for Various Rainbow Pulse Oximeter Sensors,Completed,Has Results,Healthy,Device: Pulse Oximeter sensor,Masimo Corporation,Masimo Corporation,,,,,,,Not Applicable,Industry,Interventional,12/9/2009,12/31/2009,https://ClinicalTrials.gov/show/NCT03124966
1949,Accuracy of Methemoglobin Measurement for Rainbow DCI Sensors,Completed,Has Results,Healthy,Device: DCI pulse oximeter sensor,Masimo Corporation,Masimo Corporation,,,,,,,Not Applicable,Industry,Interventional,4/23/2008,8/8/2008,https://ClinicalTrials.gov/show/NCT03124927
1950,Accuracy of Noninvasive Pulse Oximeter Measurement of Hemoglobin for Rainbow DCI Sensor,Completed,Has Results,Surgery|Healthy,Device: DCI pulse oximeter sensor,Masimo Corporation,Masimo Corporation,,,,,,,Not Applicable,Industry,Interventional,9/30/2008,10/27/2008,https://ClinicalTrials.gov/show/NCT03124901
1951,A Study to Evaluate the Efficacy and Tolerance of 2 Acne Treatment Regimens on Subjects With Mild to Moderate Acne,Completed,Has Results,Acne Vulgaris,"Device: Cleanser, Acne Mask|Device: Cleanser, Gel-Cream, Acne Mask",Johnson & Johnson Consumer Inc. (J&JCI)|Johnson & Johnson Consumer and Personal Products Worldwide,Johnson & Johnson Consumer Inc. (J&JCI),Johnson & Johnson Consumer and Personal Products Worldwide,,,,,,Not Applicable,Industry,Interventional,4/8/2017,9/6/2017,https://ClinicalTrials.gov/show/NCT03124381
1952,In Vivo Recovery and Survival Study of Platelets Collected on Trima Accel System and Stored in InterSol Solution,Completed,Has Results,Healthy Volunteers,Device: Trima Accel system,Terumo BCT,Terumo BCT,,,,,,,Not Applicable,Industry,Interventional,7/26/2017,11/24/2017,https://ClinicalTrials.gov/show/NCT03097289
1953,Profound Dermal and SubQ Cartridges for the Treatment of Cellulite,Completed,Has Results,Cellulite,Device: Profound,Syneron Medical,Syneron Medical,,,,,,,Not Applicable,Industry,Interventional,9/13/2017,1/31/2019,https://ClinicalTrials.gov/show/NCT03078647
1954,Caminamos: A Smartphone App to Connect With Walking Partners,Completed,Has Results,Physical Activity,Other: Caminamos App,"Klein Buendel, Inc.|Stanford University|National Institute on Minority Health and Health Disparities (NIMHD)","Klein Buendel, Inc.",Stanford University,National Institute on Minority Health and Health Disparities (NIMHD),,,,,Not Applicable,Industry|Other|NIH,Interventional,8/4/2015,12/31/2016,https://ClinicalTrials.gov/show/NCT03059901
1955,A Phase 2 Study of Kevetrin in Subjects With Ovarian Cancer,Completed,Has Results,Ovarian Cancer,Drug: Kevetrin,"Innovation Pharmaceuticals, Inc.","Innovation Pharmaceuticals, Inc.",,,,,,,Phase 2,Industry,Interventional,2/9/2017,11/10/2017,https://ClinicalTrials.gov/show/NCT03042702
1956,Pressure Injury Prevention in the ICU With Multi-Layer Foam Dressings,Completed,Has Results,Pressure Incidence Prevention,Device: Mepilex Border,Molnlycke Health Care AB,Molnlycke Health Care AB,,,,,,,Not Applicable,Industry,Interventional,9/9/2016,5/4/2017,https://ClinicalTrials.gov/show/NCT02962882
1957,Pressure Variability Study,Completed,Has Results,Heart Failure,"Other: Reveal LINQ ICM Cardiac Monitor, taped on the subject's chest rather than inserted in the body.",Medtronic Cardiac Rhythm and Heart Failure,Medtronic Cardiac Rhythm and Heart Failure,,,,,,,Not Applicable,Industry,Interventional,7/16/2019,1/17/2019,https://ClinicalTrials.gov/show/NCT02943941
1958,Evaluate Safety and Efficacy of a Single Treatment Cycle of EB-001 in Subjects With Glabellar Frown Lines,Completed,Has Results,Glabellar Frown Lines (GL),Drug: EB-001 injection|Drug: Placebo injection,"Bonti, Inc.","Bonti, Inc.",,,,,,,Phase 2,Industry,Interventional,12/16/2019,7/12/2017,https://ClinicalTrials.gov/show/NCT02939326
1959,Fentanyl Sublingual Spray for the Treatment of Moderate to Severe Post-Operative Pain,Completed,Has Results,Pain,Drug: Fentanyl|Drug: Placebo,INSYS Therapeutics Inc,INSYS Therapeutics Inc,,,,,,,Phase 2,Industry,Interventional,12/16/2019,2/10/2017,https://ClinicalTrials.gov/show/NCT02915978
1960,"Safety and Immunogenicity of Fluzone® Quadrivalent and Fluzone® High-Dose, Influenza Vaccines, 2016-2017 Formulations",Completed,Has Results,Influenza,"Biological: Fluzone Quadrivalent vaccine, 2016-2017 formulation, No Preservative|Biological: Fluzone High-Dose, vaccine, 2016-2017 formulation","Sanofi Pasteur, a Sanofi Company|Sanofi","Sanofi Pasteur, a Sanofi Company",Sanofi,,,,,,Phase 4,Industry,Interventional,9/15/2016,12/9/2016,https://ClinicalTrials.gov/show/NCT02908269
1961,"To Assess Bioavailability, Food Effect and Pharmacokinetics of Gepotidacin Tablets: A Phase I, Single-Dose, 2 Part Study in Healthy Subjects.",Completed,Has Results,"Infections, Bacterial",Drug: Gepotidacin RC Tablet|Drug: Gepotidacin HSWG Tablet|Drug: Gepotidacin Capsule,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 1,Industry,Interventional,8/4/2016,10/17/2017,https://ClinicalTrials.gov/show/NCT02853435
1962,A Study to Evaluate PEMF Therapy on Experimentally Inducted Pain in Subjects With Painful Peripheral Diabetic Neuropathy,Completed,Has Results,Painful Peripheral Diabetic Neuropathy,Device: Provant,"Regenesis Biomedical, Inc.","Regenesis Biomedical, Inc.",,,,,,,Not Applicable,Industry,Interventional,6/16/2019,8/16/2019,https://ClinicalTrials.gov/show/NCT02809911
1963,Acute Tear Production Following Single Use of the Oculeve Intranasal Neurostimulator,Completed,Has Results,Dry Eye Syndrome|Keratoconjunctivitis Sicca,Device: Oculeve Intranasal Neurostimulator,"Oculeve, Inc.","Oculeve, Inc.",,,,,,,Not Applicable,Industry,Interventional,6/16/2019,8/16/2019,https://ClinicalTrials.gov/show/NCT02798289
1964,Clinical Study to Evaluate CryoBalloon™ Full and Swipe Ablation Systems for Ablation of Human Esophageal Epithelium,Completed,Has Results,Esophageal Cancer,Device: CryoBalloon™ Full Ablation System|Device: CryoBalloon™ Swipe Ablation System,"C2 Therapeutics, Inc.","C2 Therapeutics, Inc.",,,,,,,Not Applicable,Industry,Interventional,4/16/2019,10/30/2016,https://ClinicalTrials.gov/show/NCT02729753
