CTID,Title,Conditions,Results First Posted,Ticker
NCT01778049,Linagliptin as Add on Therapy to Empagliflozin 10 mg or 25 mg With Background Metformin in Patient With Type 2 Diabetes,"Diabetes Mellitus, Type 2",4/4/2016,
NCT01734785,Safety and Efficacy of the Combination of Empagliflozin and Linagliptin Compared to Linagliptin Alone Over 24 Weeks in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",4/18/2016,
NCT01719003,Safety and Efficacy Study of Empagliflozin and Metformin for 24 Weeks in Treatment Naive Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2|Hyperglycemia",2/19/2016,
NCT01634152,Efficacy and Safety of 2 Doses of Tiotropium Respimat® Compared to Placebo in Children With Severe Persistent Asthma,Asthma,12/21/2015,
NCT01422876,Efficacy and Safety of Empagliflozin (BI 10773) / Linagliptin (BI 1356) Fixed Dose Combination in Treatment naïve and Metformin Treated Type 2 Diabetes Patients,"Diabetes Mellitus, Type 2",4/2/2015,
NCT01421459,A Study in Adults With Type 2 Diabetes,"Diabetes Mellitus, Type 2",10/9/2014,
NCT01421147,A Study in Adults With Type 1 Diabetes,"Diabetes Mellitus, Type 1",10/9/2014,
NCT01370005,12 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Patients With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2|Hypertension",6/17/2014,
NCT01634139,Efficacy and Safety of 2 Doses of Tiotropium Respimat® Compared to Placebo in Children With Moderate Persistent Asthma,Asthma,7/12/2016,
NCT01306214,Safety and Efficacy of BI 10773 as add-on to Insulin Regimen in Patients With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2|Obesity",6/17/2014,
NCT01289990,Safety and Efficacy of Empagliflozin (BI 10773) and Sitagliptin Versus Placebo Over 76 Weeks in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",7/15/2014,
NCT01277523,Efficacy and Safety of 2 Doses of Tiotropium Respimat Compared to Placebo in Adolescents With Severe Persistent Asthma,Asthma,10/20/2014,
NCT01257230,Efficacy and Safety of 2 Doses of Tiotropium Via Respimat Compared to Placebo in Adolescents With Moderate Persistent Asthma,Asthma,8/8/2014,
NCT01210001,Efficacy and Safety of Empagliflozin (BI 10773) in Type 2 Diabetes Patients on a Background of Pioglitazone Alone or With Metformin,"Diabetes Mellitus, Type 2",6/17/2014,
NCT01194830,Efficacy and Safety of Linagliptin (BI 1356) in Black/African Americans With Type 2 Diabetes With a MTT Sub-study,"Diabetes Mellitus, Type 2",10/26/2012,
NCT01183013,"30 Week Parallel Group Comparison Study of Linagliptin + Pioglitazone (5+15, 5+30 and 5+45 mg) qd Versus Respective Monotherapies, Followed by a Comparison of 5mg+30mg and 5mg+45mg Versus Respective Monotherapies in Type 2 Diabetes for up to 54 Weeks","Diabetes Mellitus, Type 2",4/21/2014,
NCT01177813,Efficacy and Safety of Empagliflozin (BI 10773) Versus Placebo and Sitagliptin Over 24 Weeks in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",6/16/2014,
NCT01172821,Evaluation of Tiotropium 2.5 and 5 mcg Once Daily Delivered Via the Respimat® Inhaler Compared to Placebo and Salmeterol HydroFluoroAlkane (HFA) Metered Dose Inhaler (MDI) (50 mcg Twice Daily) in Patient With Moderate Persistent Asthma II,Asthma,2/7/2014,
NCT01172808,Evaluation of Tiotropium 2.5 and 5 mcg Once Daily Delivered Via the Respimat® Inhaler Compared to Placebo and Salmeterol HydroFluoroAlkane (HFA) Metered Dose Inhaler (MDI) (50 mcg Twice Daily) in Patient With Moderate Persistent Asthma I,Asthma,2/7/2014,
NCT01167881,Efficacy and Safety of Empagliflozin (BI 10773) With Metformin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",8/8/2014,
NCT01164501,Efficacy and Safety of Empagliflozin (BI 10773) in Patients With Type 2 Diabetes and Renal Impairment,"Diabetes Mellitus, Type 2|Renal Insufficiency",6/16/2014,
NCT01159600,Efficacy and Safety Study With Empagliflozin (BI 10773) vs. Placebo as add-on to Metformin or Metformin Plus Sulfonylurea Over 24 Weeks in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",6/17/2014,
NCT01131676,BI 10773 (Empagliflozin) Cardiovascular Outcome Event Trial in Type 2 Diabetes Mellitus Patients (EMPA-REG OUTCOME).,"Diabetes Mellitus, Type 2",5/16/2016,
NCT01087502,Safety and Efficacy of Linagliptin in Type-2-diabetes Mellitus Patients With Moderate to Severe Renal Impairment,"Diabetes Mellitus, Type 2",10/17/2013,
NCT00996658,Linagliptin Versus Placebo in Type 2 Diabetic Patients With Inadequate Glycaemic Control on Metformin in Combination With Pioglitazone,"Diabetes Mellitus, Type 2",3/26/2013,
NCT00954447,Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",9/27/2012,
NCT00776984,Evaluation of Tiotropium 5 µg/Day Delivered Via the Respimat® Inhaler Over 48 Weeks in Patients With Severe Persistent Asthma on Top of Usual Care (Study II),Asthma,9/27/2012,
NCT00772538,Evaluation of Tiotropium 5 µg/Day Delivered Via the Respimat® Inhaler Over 48 Weeks in Patients With Severe Persistent Asthma on Top of Usual Care (Study I),Asthma,9/27/2012,
NCT00105989,Duloxetine Versus Placebo in the Prevention of Recurrence of Major Depressive Disorder,"Depressive Disorder, Major",7/17/2009,
NCT02850965,"Efficacy, Safety and Immunogenicity of BI 695501 Versus Humira® in Patients With Moderate to Severe Chronic Plaque Psoriasis",Psoriasis,2/8/2019,
NCT02802345,Efficacy and Safety of Nintedanib Co-administered With Sildenafil in Idiopathic Pulmonary Fibrosis Patients With Advanced Lung Function Impairment,Idiopathic Pulmonary Fibrosis,1/11/2019,
NCT02640612,Long-term Assessment of Safety and Efficacy of BI 695501 in Patients With Rheumatoid Arthritis,"Arthritis, Rheumatoid",12/5/2018,
NCT02296138,Comparing the Efficacy of Tiotropium + Olodaterol (5/5 µg) Fixed Dose Combination (FDC) Over Tiotropium 5µg in Reducing Moderate to Severe Exacerbations in Patients With Severe to Very Severe Chronic Obstructive Pulmonary Disease.,"Pulmonary Disease, Chronic Obstructive",6/4/2018,
NCT02164864,Evaluation of Dual Therapy With Dabigatran vs. Triple Therapy With Warfarin in Patients With AF That Undergo a PCI With Stenting (REDUAL-PCI),Atrial Fibrillation|Percutaneous Coronary Intervention,7/31/2018,
NCT02149108,Nintedanib (BIBF 1120) vs Placebo in Refractory Metastatic Colorectal Cancer (LUME-Colon 1),Colorectal Neoplasms,7/21/2017,
NCT02137226,BI 695501 Compared to Adalimumab in Patients With Active Rheumatoid Arthritis,"Arthritis, Rheumatoid",12/8/2017,
NCT02104947,Reversal of Dabigatran Anticoagulant Effect With Idarucizumab,Hemorrhage,8/18/2017,
NCT02006732,Tiotropium+Olodaterol Fixed Dose Combination (FDC) in Chronic Obstructive Pulmonary Disease (OTEMTO 2),"Pulmonary Disease, Chronic Obstructive",1/20/2016,
NCT01979952,Nintedanib Twice Daily vs Placebo in Patients Diagnosed With Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,4/17/2018,
NCT01964352,Tiotropium + Olodaterol Fixed Dose Combination (FDC) in Chronic Obstructive Pulmonary Disease (OTEMTO 1),"Pulmonary Disease, Chronic Obstructive",11/25/2015,
NCT01814553,ADAM-Afatinib Diarrhea Assessment and Management,"Carcinoma, Non-Small-Cell Lung",10/31/2016,
NCT01732796,IFN-free Combination Therapy in HCV-infected Patients Treatment-naive:HCVerso1,"Hepatitis C, Chronic",4/18/2016,
NCT01728324,"Phase 3 Study of BI 207127 in Combination With Faldaprevir and Ribavirin for Treatment of Patients With Hepatitis C Infection, Including Patients Who Are Not Eligible to Receive Peginterferon: HCVerso2","Hepatitis C, Chronic",2/12/2016,
NCT01696058,Co-administration of Olodaterol Respimat® and Tiotropium Handihaler®,"Pulmonary Disease, Chronic Obstructive",11/10/2014,
NCT01694771,Co-administration of Olodaterol Respimat® and Tiotropium Handihaler®,"Pulmonary Disease, Chronic Obstructive",9/4/2014,
NCT01533935,Effect on Exercise Endurance and Lung Hyperinflation of Tiotropium + Olodaterol in COPD Patients.,"Pulmonary Disease, Chronic Obstructive",9/15/2015,
NCT01525615,A Study to Determine the Effect of Tiotropium + Olodaterol Fixed Dose Combination on Exercise Endurance Time During Constant Work Rate Cycle Ergometry Test in COPD,"Pulmonary Disease, Chronic Obstructive",9/15/2015,
NCT01523587,LUX-Lung 8: A Phase III Trial of Afatinib (BIBW 2992) Versus Erlotinib for the Treatment of Squamous Cell Lung Cancer After at Least One Prior Platinum Based Chemotherapy,"Carcinoma, Non-Small-Cell Lung",11/21/2014,
NCT01533922,Effect on Exercise Endurance and Lung Hyperinflation of Tiotropium + Olodaterol in COPD Patients,"Pulmonary Disease, Chronic Obstructive",9/15/2015,
NCT01431287,Tiotropium +Olodaterol Fixed Dose Combination (FDC) Versus Tiotropium and Olodaterol in Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",7/16/2015,
NCT01431274,Tiotropium+Olodaterol Fixed Dose Combination (FDC) Versus Tiotropium and Olodaterol in Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",7/16/2015,
NCT01399619,Phase III Trial of BI 201335 (Faldaprevir) in Treatment Naive (TN) and Relapser Hepatitis C Virus (HCV)-Human Immunodeficiency Virus (HIV) Coinfected Patients (STARTverso 4),"Hepatitis C, Chronic",9/4/2015,
NCT01358864,Efficacy and Safety of BI 201335 (Faldaprevir) in Combination With Pegylated Interferon-alpha and Ribavirin in Treatment-Experienced Genotype 1 Hepatitis C Infected Patients (STARTverso 3),"Hepatitis C, Chronic",10/28/2015,
NCT01335477,Safety and Efficacy of BIBF 1120 at High Dose in Idiopathic Pulmonary Fibrosis Patients II,Pulmonary Fibrosis,2/13/2015,
NCT01335464,Safety and Efficacy of BIBF 1120 at High Dose in Idiopathic Pulmonary Fibrosis Patients,Pulmonary Fibrosis,2/13/2015,
NCT01330316,A Rollover Study of BI 201335 in Combination With Pegylated Interferon-alpha and Ribavirin in Treatment-experienced Genotype 1 Hepatitis C Infected Patients,Hepatitis C,7/31/2015,
NCT01345682,LUX-Head&Neck 1: A Phase III Trial of Afatinib (BIBW2992) Versus Methotrexate for the Treatment of Recurrent and/or Metastatic (R/M) Head and Neck Squamous Cell Cancer After Platinum Based Chemotherapy,"Head and Neck Neoplasms|Carcinoma, Squamous Cell",4/14/2015,
NCT01297270,Efficacy and Safety of BI 201335 (Faldaprevir) in Combination With Pegylated Interferon-alpha and Ribavirin in Treatment-naïve Genotype 1 Hepatitis C Infected Patients (STARTverso 2),Hepatitis C,9/18/2015,
NCT01179347,Tiotropium Bromide in Cystic Fibrosis,Cystic Fibrosis,3/26/2013,
NCT01126437,Comparison of Tiotropium in the HandiHaler Versus the Respimat in Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",6/20/2014,
NCT01125566,LUX-Breast 1: BIBW 2992 (Afatinib) in HER2-positive Metastatic Breast Cancer Patients After One Prior Herceptin Treatment,Breast Neoplasms,8/21/2014,
NCT01019694,Combivent Respimat 1-year Safety Study in Patients With Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",5/1/2012,
NCT01015118,LUME-Ovar 1: Nintedanib (BIBF 1120) or Placebo in Combination With Paclitaxel and Carboplatin in First Line Treatment of Ovarian Cancer,Ovarian Neoplasms|Peritoneal Neoplasms,1/15/2015,
NCT00932646,Characterisation of 24-hour FEV1-time Profiles of Inhaled BI 1744 CL and Inhaled Foradil in Patients With Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",6/27/2014,
NCT00931385,Characterization of 24 Hour Spirometry Profiles of Inhaled BI 1744 CL and Inhaled Foradil in Patients With Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",7/1/2014,
NCT00877929,Telmisartan Fixed Dose Combination vs Amlodipine in Hypertensive Patients With Type 2 Diabetes Mellitus,Hypertension,6/7/2011,
NCT00860262,Telmisartan and Amlodipine Fixed Dose Combination [FDC] Trial for the Treatment of Severe Hypertension,Hypertension,1/4/2011,
NCT00949650,BIBW 2992 (Afatinib) Versus Chemotherapy as First Line Treatment in NSCLC With EGFR Mutation,"Carcinoma, Non-Small-Cell Lung|Adenocarcinoma",11/19/2013,
NCT00819091,"Randomized, Double-blind (db), Placebo-controlled 18 Week Study of Linagliptin (BI 1356) in Type 2 Diabetic Patients With Insufficient Glycaemic Control on a Sulfonylurea Drug","Diabetes Mellitus, Type 2",8/1/2011,
NCT00928746,Actuation Indicator Trial in Patients With COPD,"Pulmonary Disease, Chronic Obstructive",9/28/2010,
NCT00819052,Switching Nevirapine Immediate Release( IR) Based Regimen to Nevirapine Extended Release (XR) Based Regimen in Human Immunodeficiency Virus One (HIV-1) Infected Patients,HIV Infections,2/24/2012,
NCT00808067,RELY-ABLE Long Term Multi-center Extension of Dabigatran Treatment in Patients With Atrial Fibrillation Who Completed RE-LY Trial,Atrial Fibrillation,4/8/2014,
NCT00806819,Lume Lung 2 : BIBF 1120 Plus Pemetrexed Compared to Placebo Plus Pemetrexed in 2nd Line Nonsquamous NSCLC,"Carcinoma, Non-Small-Cell Lung",11/20/2014,
NCT00800683,"Safety and Efficacy in Type 2 Diabetic Patients With Severe Chronic Renal Impairment, 5 mg BI 1356 (Linagliptin) vs. Placebo, Insulin Background Inclusive","Diabetes Mellitus, Type 2",2/1/2012,
NCT00782509,12 / 48 wk Pivotal PFT vs PBO in COPD II,"Pulmonary Disease, Chronic Obstructive",6/17/2014,
NCT00782210,12 / 48 Week Pivotal PFT vs PBO in COPD I,"Pulmonary Disease, Chronic Obstructive",4/30/2014,
NCT00740051,"A Randomised, db, Placebo-controlled Study of BI 1356 for 18 Weeks Followed by a 34 Week Double-blind Extension Period (Placebo Patients Switched to Glimepiride) in Type 2 Diabetic Patients for Whom Treatment With Metformin is Inappropriate","Diabetes Mellitus, Type 2",10/26/2011,
NCT00736099,Safety and Efficacy of Linagliptin (BI 1356) as Monotherapy or in Combination in Type 2 DM,"Diabetes Mellitus, Type 2",3/8/2012,
NCT00680186,Phase III Study Testing Efficacy & Safety of Oral Dabigatran Etexilate vs Warfarin for 6 m Treatment for Acute Symp Venous Thromboembolism (VTE),Thromboembolism,6/14/2012,
NCT00656136,BIBW 2992 and BSC Versus Placebo and BSC in Non-small Cell Lung Cancer Patients Failing Erlotinib or Gefitinib (LUX-LUNG 1),"Carcinoma, Non-Small-Cell Lung",11/27/2013,
NCT00657150,Dabigatran Etexilate Compared With Enoxaparin in Prevention of Venous Thromboembolism (VTE) Following Total Hip Arthroplasty,Venous Thromboembolism,12/17/2010,
NCT00622284,Efficacy and Safety of BI 1356 in Combination With Metformin in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",2/20/2012,
NCT00601250,Efficacy and Safety of B I1356 (Linagliptin) vs. Placebo Added to Metformin Background Therapy in Patients With Type 2 Diabetes,"Diabetes Mellitus, Type 2",6/7/2011,
NCT00601523,Long-term Safety Study of Open-label Pramipexole Extended Release (ER) in Patients With Early Parkinson´s Disease (PD).,Parkinson Disease,8/25/2011,
NCT00561925,VERxVE Study on Efficacy and Safety of Nevirapine XR in Comparison to Nevirapine IR With Truvada in Naive HIV+ Patients,HIV Infections,1/19/2012,
NCT00558259,Twice-daily Oral Direct Thrombin Inhibitor Dabigatran Etexilate in the Long Term Prevention of Recurrent Symptomatic VTE,Venous Thromboembolism,3/2/2012,
NCT00479401,"Efficacy, Safety, Tolerability of Pramipexol ER Versus Pramipexol IR Versus Placebo in Early PD Patients",Early Parkinson Disease (Early PD),4/15/2010,
NCT00400153,Respimat® Combivent Trial in Chronic Obstructive Pulmonary Disease (COPD),"Pulmonary Disease, Chronic Obstructive",6/1/2009,
NCT00387088,Tiotropium / Respimat One Year Study in COPD.,"Pulmonary Disease, Chronic Obstructive",1/22/2010,
NCT00329238,Secondary Prevention of Venous Thrombo Embolism (VTE).,Thromboembolism,9/14/2011,
NCT00291330,Efficacy and Safety of Dabigatran Compared to Warfarin for 6 Month Treatment of Acute Symptomatic Venous Thromboembolism,Thromboembolism,2/11/2011,
NCT00281580,Telmisartan (Micardis) and Amlodipine (Norvasc) - Factorial Design Study for the Treatment of Hypertension,Hypertension,4/28/2010,
NCT00262600,Randomized Evaluation of Long Term Anticoagulant Therapy (RE-LY) With Dabigatran Etexilate,Atrial Fibrillation|Stroke,2/10/2011,
NCT00168844,Tiotropium / Respimat One-Year Study,"Pulmonary Disease, Chronic Obstructive",10/7/2009,
NCT00168831,Tiotropium / Respimat One-Year Study,"Pulmonary Disease, Chronic Obstructive",10/7/2009,
NCT00152971,Dabigatran Etexilate vs Enoxaparin in Prevention of Venous Thromboembolism (VTE) Post Total Knee Replacement,"Arthroplasty, Replacement, Knee|Thromboembolism",12/17/2010,
NCT00144339,Evaluation of the Long- Term Effects of Spiriva on Lung Function in COPD Patients,"Pulmonary Disease, Chronic Obstructive",8/17/2009,
NCT01559116,Characterization of 24-hour Lung Function Profiles of Inhaled Tiotropium + Olodaterol Fixed Dose Combination in Patients Suffering From Chronic Obstructive Pulmonary Disease,"Pulmonary Disease, Chronic Obstructive",7/16/2015,
NCT00054717,Randomized Evaluation of Strategic Intervention in Multidrug Resistant Patients With Tipranavir (RESIST),HIV Infections,11/19/2009,
NCT02085161,To Evaluate the Effect of Inhaled Medication Together With Exercise and Activity Training on Exercise Capacity and Daily Activities in Patients With Chronic Lung Disease With Obstruction of Airways,"Pulmonary Disease, Chronic Obstructive",1/6/2017,
NCT01040728,"A Randomized, Double-Blind, 4-way Crossover Study to Evaluate the Efficacy of of 24 Hour Spirometry Profiles of Inhaled BI 1744 CL and Inhaled Tiotropium Bromide in Patients With Chronic Obstructive Pulmonary Disease","Pulmonary Disease, Chronic Obstructive",6/30/2014,
NCT00796614,Study to Evaluate the Efficacy and Safety of Tamsulosin in Children With Neurogenic Bladder,"Bladder, Neurogenic",9/12/2012,
NCT00146328,Rollover Trial Safety and Tolerability of Combination Tipranavir and Ritonavir Use in HIV 1 Infected Subjects,HIV Infections,7/16/2009,
NCT01885559,HALT Progression of Polycystic Kidney Disease (HALT PKD) Study B,"Kidney, Polycystic",3/10/2015,
NCT00283686,HALT Progression of Polycystic Kidney Disease (HALT PKD) Study A,"Kidney, Polycystic",2/27/2015,
NCT01635881,Evaluation of Coronary Luminal Diameter Enlargement With Emerge™ 1.20 mm PTCA Dilatation Catheter,Coronary Artery Disease,11/6/2013,BSX
NCT01936467,Comparison of Two Needle Aspiration Techniques for Endoscopic Ultrasound-guided Fine Needle Aspiration (EUS-FNA) in Solid Pancreatic Lesions,Pancreatic Solid Lesions|Pancreatic Mass,4/13/2017,BSX
NCT00433966,Harmonizing Outcomes With Revascularization and Stents in Acute Myocardial Infarction,Myocardial Infarction,12/4/2017,BSX
NCT01510327,PLATINUM Trial to Assess the PROMUS Element Stent System for Treatment of De Novo Coronary Artery Lesions-Pharmacokinetics (PLATINUM PK),Coronary Artery Disease,4/5/2012,BSX
NCT01665053,The EVOLVE II Clinical Trial To Assess the SYNERGY Stent System for the Treatment of Atherosclerotic Lesion(s),Coronary Artery Disease,1/7/2016,BSX
NCT01500434,The PLATINUM Clinical Trial to Assess the PROMUS Element Stent System for Treatment of Long De Novo Coronary Artery Lesions (PLATINUM LL),Coronary Artery Disease,2/14/2012,BSX
NCT01182441,Evaluation of the WATCHMAN Left Atrial Appendage (LAA) Closure Device in Patients With Atrial Fibrillation Versus Long Term Warfarin Therapy,Atrial Fibrillation|Stroke,7/26/2018,BSX
NCT00896337,EPIC Nitinol Stent System in the Treatment of Atherosclerotic Lesions in Iliac Arteries,Iliac Artery Stenosis,7/3/2012,BSX
NCT00823212,The PLATINUM Clinical Trial to Assess the PROMUS Element Stent System for Treatment of De Novo Coronary Artery Lesions,Coronary Artery Disease,1/27/2012,BSX
NCT00489541,TAXUS PERSEUS Small Vessel,Coronary Artery Disease,6/28/2011,BSX
NCT00484315,TAXUS PERSEUS Workhorse,Coronary Artery Disease,6/28/2011,BSX
NCT00433771,A Study of the WallFlex™ Biliary Fully-covered Stent for the Palliative Treatment of Malignant Bile Duct Obstruction,"Cholestasis, Extrahepatic",2/9/2010,BSX
NCT00286078,Treatment for Migraines With an Implantable Device,Migraine,8/9/2016,BSX
NCT00205855,An Implantable Spinal Cord Stimulation Pain Management System,"Chronic Pain|Pain, Intractable|Pain|Back Pain|Failed Back Surgery Syndrome",10/26/2012,BSX
NCT00131573,An Implantable Microstimulator for the Chronic Treatment of Urinary Urgency-Frequency Syndrome,Overactive Bladder,11/19/2013,BSX
NCT00080470,An Implantable Microstimulator for the Chronic Treatment of Refractory Urinary Urge Incontinence,Urinary Incontinence,10/10/2013,BSX
NCT00129545,WATCHMAN Left Atrial Appendage System for Embolic PROTECTion in Patients With Atrial Fibrillation,Atrial Fibrillation|Stroke,5/15/2015,BSX
NCT00790335,Acute Venous Thrombosis: Thrombus Removal With Adjunctive Catheter-Directed Thrombolysis,Deep Vein Thrombosis|Venous Thrombosis|Postphlebitic Syndrome|Venous Thromboembolism|Post Thrombotic Syndrome,3/29/2018,BSX
NCT00829413,SonoVue®-Enhanced Ultrasound (US) Versus Unenhanced US for Focal Liver Lesion Characterization,Liver Neoplasms,8/3/2018,
NCT00788697,SonoVue®-Enhanced Ultrasound Versus Unenhanced US for Focal Liver Lesion Characterization,Liver Neoplasms,6/14/2017,
NCT00856843,BLI800-303: An Efficacy Evaluation of 2 Different Bowel Cleansing Preparations in Adult Subjects,Colonoscopy,11/10/2010,
NCT00756977,BLI850 vs an Active Control Bowel Preparation in Adult Subjects Undergoing Colonoscopy,Colon Cancer,8/9/2013,
NCT00756548,BLI850-302: BLI850 vs an Approved Active Control Bowel Preparation in Adult Subjects Undergoing Colonoscopy,Colon Cancer,12/27/2013,
NCT00373334,Safety and Efficacy Study of Axid Use in Infants Suffering From Gastroesophageal Reflux Disease (GERD),Gastroesophageal Reflux Disease|GERD|Heartburn,11/17/2009,
NCT00729430,Effect of High Dose Fish Oil Supplementation After Recent Heart Attack Using Magnetic Resonance Imaging,"Myocardial Infarction|Death, Sudden, Cardiac",6/1/2017,
NCT01931150,Study of Prophylactic Topical Dapsone 5% Gel Versus Moisturizer for Cetuximab-induced Papulopustular (Acneiform) Rash in Patients With mCRC or HNSCC Without Previous or Concurrent RT,Cetuximab-induced Papulopustular (Acneiform) Rash Who Have|Metastatic Colorectal Cancer or Head and Neck Squamous Cell Carcinoma,1/13/2017,BMY
NCT00683852,"A Double-Blind, Placebo-Controlled Study of Aripiprazole Adjunctive to Antidepressant Therapy",Major Depressive Disorder,7/19/2017,BMY
NCT00556140,The Combination of Aripiprazole and Antidepressants in Psychotic Major Depression,Psychotic Depression,8/20/2012,BMY
NCT00194077,Study of Aripiprazole (Abilify) in Children With Symptoms of Mania,Bipolar Disorder,12/5/2013,BMY
NCT00194012,Study of Aripiprazole (Abilify) Versus Placebo in Children With Subsyndromal Bipolar Disorder,Bipolar Disorder,5/5/2014,BMY
NCT00870727,Study of Aripiprazole in the Treatment of Pervasive Developmental Disorders,Pervasive Developmental Disorder,11/28/2018,BMY
NCT02032875,"Phase III Daclatasvir, Sofosbuvir, and Ribavirin in Cirrhotic Participants and Participants Post-liver Transplant",Hepatitis C,10/20/2015,BMY
NCT00643201,Efficacy and Safety Study of Apixaban for the Treatment of Deep Vein Thrombosis or Pulmonary Embolism,Venous Thrombosis,4/10/2014,BMY
NCT00633893,Efficacy and Safety Study of Apixaban for Extended Treatment of Deep Vein Thrombosis or Pulmonary Embolism,Venous Thrombosis,10/25/2013,BMY
NCT00496769,A Phase III Study of Apixaban in Patients With Atrial Fibrillation,Atrial Fibrillation,11/14/2013,BMY
NCT00324155,Dacarbazine and Ipilimumab vs. Dacarbazine With Placebo in Untreated Unresectable Stage III or IV Melanoma,Melanoma,3/10/2014,BMY
NCT00095238,Irbesartan in Heart Failure With Preserved Systolic Function (I-Preserve),Congestive Heart Failure,6/8/2010,BMY
NCT00252564,"Cetuximab, Bevacizumab & 5FU/Leucovorin vs. Oxaliplatin, Bevacizumab & 5FU/Leucovorin in Metastatic Colorectal Cancer",Metastatic Colorectal Cancer,3/14/2011,BMY
NCT02673489,A Study of Daclatasvir and Sofosbuvir With Ribavirin in Subjects With Cirrhosis and Genotype 3 Hepatitis C Infection,Hepatitis C,3/29/2018,BMY
NCT02032901,Phase III Daclatasvir and Sofosbuvir for Genotype 3 Chronic HCV,Hepatitis C,9/14/2015,BMY
NCT02032888,A Phase 3 Study to Evaluate Combination Therapy With Daclatasvir and Sofosbuvir in the Treatment of HIV and Hepatitis C Virus Coinfection.,Hepatitis C,10/27/2015,BMY
NCT01714817,Efficacy and Safety Study of Abatacept to Treat Lupus Nephritis,Lupus Nephritis,12/21/2017,BMY
NCT01598090,Phase 3 Efficacy and Safety Study of Peginterferon Lambda-1a and Ribavirin With Telaprevir,Hepatitis C Virus,5/21/2019,BMY
NCT01515189,Phase 3 Trial in Subjects With Metastatic Melanoma Comparing 3 mg/kg Ipilimumab Versus 10 mg/kg Ipilimumab,Melanoma,3/24/2017,BMY
NCT01492426,Study Comparing Daclatasvir (BMS-790052) With Telaprevir Combined With Peginterferon Alfa-2a and Ribavirin in Patients With Chronic Hepatitis C Virus Infection,Hepatitis C,6/3/2016,BMY
NCT01471574,Safety and Efficacy Study of Daclatasvir (BMS-790052) Plus Pegylated Interferon-Alfa 2a and Ribavirin in Patients Coinfected With Untreated Hepatitis C Virus and HIV Virus,"Hepatitis C, Genotype 1",12/17/2015,BMY
NCT01450761,Trial in Extensive-Disease Small Cell Lung Cancer (ED-SCLC) Subjects Comparing Ipilimumab Plus Etoposide and Platinum Therapy to Etoposide and Platinum Therapy Alone,Small Cell Lung Carcinoma,7/18/2016,BMY
NCT01389323,"BMS-790052 (Daclatasvir) Plus Peg-Interferon Alfa-2a and Ribavirin in Treatment-Naive Black/African-Americans, Latinos and White/Caucasians With Hepatitis C",Hepatitis C,9/16/2015,BMY
NCT01285609,Phase 3 Trial in Squamous Non Small Cell Lung Cancer Subjects Comparing Ipilimumab Versus Placebo in Addition to Paclitaxel and Carboplatin,Lung Cancer - Non Small Cell Squamous,6/23/2016,BMY
NCT01142726,Efficacy and Safety Study of Abatacept Subcutaneous Plus Methotrexate in Inducing Remission in Adults With Very Early Rheumatoid Arthritis,Rheumatoid Arthritis,10/17/2014,BMY
NCT01079806,A Phase III Study of the Safety and Efficacy of Entecavir in Pediatric Patients With Chronic Hepatitis B Virus Infection,"Chronic Hepatitis B Virus, Pediatric",4/21/2014,BMY
NCT01057810,Phase 3 Study of Immunotherapy to Treat Advanced Prostate Cancer,Prostate Cancer,8/18/2016,BMY
NCT01741545,Safety and Efficacy Study in Subjects With Chronic HCV and Underlying Hemophilia,Hepatitis C Virus,6/24/2019,BMY
NCT01003990,Roll-Over Protocol To Provide Atv And/Or Truvada For Extended Access,HIV,5/11/2017,BMY
NCT00929864,Abatacept Versus Adalimumab Head-to-Head,Rheumatoid Arthritis,1/3/2014,BMY
NCT00861614,Study of Immunotherapy to Treat Advanced Prostate Cancer,Prostate Cancer,3/16/2016,BMY
NCT00744497,Randomized Study Comparing Docetaxel Plus Dasatinib to Docetaxel Plus Placebo in Castration-resistant Prostate Cancer,Prostatic Neoplasms,2/6/2014,BMY
NCT00663702,Phase IIIB Switching From Intravenous to Subcutaneous Study,"Arthritis, Rheumatoid",3/26/2012,BMY
NCT00559585,Methotrexate-Inadequate Response Study,Rheumatoid Arthritis (RA),7/6/2011,BMY
NCT00547521,Phase IIIB Subcutaneous Abatacept Monotherapy Study,Rheumatoid Arthritis (RA),1/24/2011,BMY
