Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
649,"A Study to Assess the Effectiveness and Safety of Rivaroxaban in Reducing the Risk of Death, Myocardial Infarction or Stroke in Participants With Heart Failure and Coronary Artery Disease Following an Episode of Decompensated Heart Failure",Completed,Has Results,Heart Failure|Coronary Artery Disease,Drug: Rivaroxaban|Drug: Placebo|Other: Standard of care for heart failure and coronary artery disease,"Janssen Research & Development, LLC|Bayer",Phase 3,Industry,Interventional,10-May-19,https://ClinicalTrials.gov/show/NCT01877915
650,Long-term Safety and Efficacy of Sirukumab in Participants With RA Completing Studies CNTO136ARA3002 or CNTO136ARA3003,Completed,Has Results,"Arthritis, Rheumatoid",Drug: Sirukumab 100 mg|Drug: Sirukumab 50 mg|Drug: Placebo,"Janssen Research & Development, LLC|GlaxoSmithKline",Phase 3,Industry,Interventional,6-May-19,https://ClinicalTrials.gov/show/NCT01856309
651,"A Study Comparing the Combination of Trabectedin (YONDELIS) and DOXIL/CAELYX With DOXIL/CAELYX for the Treatment of Advanced-Relapsed Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",Completed,Has Results,Ovarian Neoplasms|Peritoneal Neoplasms|Fallopian Tube Neoplasms,Drug: Trabectedin|Drug: DOXIL|Drug: Dexamethasone,"Janssen Research & Development, LLC|PharmaMar",Phase 3,Industry,Interventional,6-Feb-19,https://ClinicalTrials.gov/show/NCT01846611
652,A Study Exploring Two Strategies of Rivaroxaban (JNJ39039039; BAY-59-7939) and One of Oral Vitamin K Antagonist in Patients With Atrial Fibrillation Who Undergo Percutaneous Coronary Intervention,Completed,Has Results,Atrial Fibrillation|Percutaneous Coronary Intervention,Drug: rivaroxaban 2.5 mg|Drug: rivaroxaban 15 mg|Drug: rivaroxaban 10 mg|Drug: aspirin (ASA)|Drug: vitamin K antagonist (VKA)|Drug: clopidogrel|Drug: prasugrel|Drug: ticagrelor,"Janssen Scientific Affairs, LLC|Bayer",Phase 3,Industry,Interventional,31-Jul-17,https://ClinicalTrials.gov/show/NCT01830543
653,Phase 3 Trial to Assess the Safety and Efficacy of Natroba for the Treatment of Scabies,Completed,Has Results,Scabies,"Drug: spinosad topical suspension, 0.9%|Other: Placebo",ParaPRO LLC|Concentrics Research,Phase 3,Industry|Other,Interventional,16-Jan-19,https://ClinicalTrials.gov/show/NCT02485717
654,Brexpiprazole in Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Brexpiprazole,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",Phase 3,Industry,Interventional,23-Feb-17,https://ClinicalTrials.gov/show/NCT01810783
655,Inhaled Amikacin Solution BAY41-6551 as Adjunctive Therapy in the Treatment of Gram-Negative Pneumonia,Completed,Has Results,"Pneumonia, Bacterial",Drug: Amikacin Inhalation Solution (BAY41-6551)|Drug: Aerosolized Placebo,Bayer|Nektar Therapeutics,Phase 3,Industry,Interventional,26-Jun-18,https://ClinicalTrials.gov/show/NCT01799993
656,"MARLINA - T2D : Efficacy, Safety & Modification of Albuminuria in Type 2 Diabetes Subjects With Renal Disease With LINAgliptin",Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo|Drug: Linagliptin 5mg,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,6-Mar-17,https://ClinicalTrials.gov/show/NCT01792518
657,Brexpiprazole as Adjunctive Treatment in Patients With Major Depressive Disorder With an Inadequate Response to Antidepressant Treatment,Completed,Has Results,Major Depressive Disorder,Drug: Placebo|Drug: Brexpiprazole|Drug: ADT,"H. Lundbeck A/S|Otsuka Pharmaceutical Co., Ltd.",Phase 3,Industry,Interventional,9-Aug-17,https://ClinicalTrials.gov/show/NCT01838681
658,Crossover Study to Assess the Efficacy of PT003 With and Without a Valved Holding Chamber in Subjects With Moderate to Severe COPD,Completed,Has Results,COPD,Device: GFF MDI (PT003) with Aerochamber|Device: GFF MDI (PT003) without Aerochamber,"Pearl Therapeutics, Inc.",Phase 3,Industry,Interventional,19-Apr-17,https://ClinicalTrials.gov/show/NCT02454959
659,Linagliptin as Add on Therapy to Empagliflozin 10 mg or 25 mg With Background Metformin in Patient With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: BI 10773|Drug: BI 10773 Placebo|Drug: BI 10773 / BI 1356|Drug: BI 10773 / BI 1356 Placebo,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,4-Apr-16,https://ClinicalTrials.gov/show/NCT01778049
660,To Evaluate The Safety of SAR153191 (REGN88) and Tocilizumab Added to Other RA Drugs in Patients With RA Who Are Not Responding to or Intolerant of Anti-TNF Therapy (SARIL-RA-ASCERTAIN),Completed,Has Results,Rheumatoid Arthritis,Drug: sarilumab SAR153191 (REGN88)|Drug: tocilizumab|Drug: hydroxychloroquine|Drug: methotrexate|Drug: sulfasalazine|Drug: leflunomide|Drug: subcutaneous placebo|Drug: intravenous placebo,Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,26-Jun-17,https://ClinicalTrials.gov/show/NCT01768572
661,Ciprofloxacin Dry Powder for Inhalation in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),Completed,Has Results,Bronchiectasis,Drug: Ciprofloxacin DPI (BAYQ3939)|Drug: Placebo,Bayer|Novartis,Phase 3,Industry,Interventional,24-May-17,https://ClinicalTrials.gov/show/NCT01764841
662,Study to Evaluate Lumacaftor and Ivacaftor Combination Therapy in Subjects 12 Years and Older With Advanced Lung Disease,Completed,Has Results,Cystic Fibrosis|Advanced Lung Disease,Drug: Lumacaftor|Drug: Ivacaftor,Vertex Pharmaceuticals Incorporated,Phase 3,Industry,Interventional,1-Nov-17,https://ClinicalTrials.gov/show/NCT02390219
663,Safety and Efficacy of the Combination of Empagliflozin and Linagliptin Compared to Linagliptin Alone Over 24 Weeks in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Linagliptin|Drug: Empagliflozin + Linagliptin|Drug: Empaglifozin placebo + Linagliptin placebo,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,18-Apr-16,https://ClinicalTrials.gov/show/NCT01734785
664,Safety and Efficacy of Fibrin Sealant Grifols (FS Grifols) During Soft Tissue Open Surgeries,Completed,Has Results,Soft Tissue Surgical Bleeding,Biological: Fibrin Sealant (FS) Grifols|Device: Surgicel®,"Grifols Biologicals, LLC|Instituto Grifols, S.A.",Phase 3,Industry,Interventional,23-Feb-17,https://ClinicalTrials.gov/show/NCT01731938
665,Study of Alirocumab (REGN727/SAR236553) added-on to Rosuvastatin Versus Other Lipid Modifying Treatments (LMT) (ODYSSEY OPTIONS II),Completed,Has Results,Hypercholesterolemia,Drug: Alirocumab|Drug: Rosuvastatin|Drug: Ezetimibe|Drug: Placebo,Regeneron Pharmaceuticals|Sanofi,Phase 3,Industry,Interventional,28-Oct-15,https://ClinicalTrials.gov/show/NCT01730053
666,Study of the Efficacy and Safety of Alirocumab (REGN727/SAR236553) in Combination With Other Lipid-modifying Treatment (LMT) (ODYSSEY OPTIONS I),Completed,Has Results,Hypercholesterolemia,Drug: Alirocumab|Drug: Atorvastatin|Drug: Ezetimibe|Drug: Rosuvastatin|Drug: Placebo,Regeneron Pharmaceuticals|Sanofi,Phase 3,Industry,Interventional,31-Aug-15,https://ClinicalTrials.gov/show/NCT01730040
667,A Study Exploring Two Treatment Strategies in Patients With Atrial Fibrillation Who Undergo Catheter Ablation Therapy,Completed,Has Results,Atrial Fibrillation,Drug: rivaroxaban|Drug: uninterrupted vitamin K antagonist (VKA),"Janssen Scientific Affairs, LLC|Bayer",Phase 3,Industry,Interventional,10-Nov-15,https://ClinicalTrials.gov/show/NCT01729871
668,Open-label Phase 3 BTK Inhibitor Ibrutinib vs Chlorambucil Patients 65 Years or Older With Treatment-naive CLL or SLL,Completed,Has Results,Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma,Drug: Ibrutinib|Drug: Chlorambucil,"Pharmacyclics LLC.|Janssen Research & Development, LLC",Phase 3,Industry,Interventional,4-May-16,https://ClinicalTrials.gov/show/NCT01722487
669,Safety and Efficacy Study of Empagliflozin and Metformin for 24 Weeks in Treatment Naive Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2|Hyperglycemia",Drug: Metformin 500 mg bid|Drug: Metformin 1000 mg bid|Drug: Empagliflozin low dose qd|Drug: Empagliflozin high dose qd|Drug: Empagliflozin low dose bid|Drug: Empagliflozin high dose bid,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,19-Feb-16,https://ClinicalTrials.gov/show/NCT01719003
670,Open-label Study to Evaluate the Effectiveness of an Intramuscular Formulation of Aripiprazole (OPC-14597) as Maintenance Treatment in Patients With Bipolar I Disorder,Completed,Has Results,Bipolar I,Drug: Aripiprazole,"Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S",Phase 3,Industry,Interventional,8-Aug-18,https://ClinicalTrials.gov/show/NCT01710709
671,To Evaluate The Effect Of SAR153191 (REGN88) Added To Other RA Drugs In Patients With RA Who Are Not Responding To Or Intolerant Of Anti-TNF Therapy (SARIL-RA-TARGET),Completed,Has Results,Rheumatoid Arthritis,Drug: Sarilumab|Drug: placebo|Drug: hydroxychloroquine|Drug: methotrexate|Drug: sulfasalazine|Drug: leflunomide,Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,8-Aug-17,https://ClinicalTrials.gov/show/NCT01709578
672,"Study of Alirocumab (REGN727/SAR236553) in Patients With Primary Hypercholesterolemia and Moderate, High, or Very High Cardiovascular (CV) Risk, Who Are Intolerant to Statins (ODYSSEY ALTERNATIVE)",Completed,Has Results,Hypercholesterolemia,Drug: Atorvastatin|Drug: Ezetimibe|Drug: Alirocumab|Drug: Placebo,Regeneron Pharmaceuticals|Sanofi,Phase 3,Industry,Interventional,28-Aug-15,https://ClinicalTrials.gov/show/NCT01709513
673,Clinical Study to Test the Efficacy and Safety of ACYC to Treat Moderate to Severe Acne,Completed,Has Results,Acne,Drug: ACYC|Drug: ACYC vehicle,"Bausch Health Americas, Inc.|Dow Pharmaceutical Sciences",Phase 3,Industry,Interventional,10-Jan-17,https://ClinicalTrials.gov/show/NCT01701024
674,Explore the Efficacy and Safety of Once-daily Oral Rivaroxaban for the Prevention of Cardiovascular Events in Subjects With Nonvalvular Atrial Fibrillation Scheduled for Cardioversion,Completed,Has Results,Atrial Fibrillation,"Drug: Rivaroxaban (Xarelto, BAY59-7939)|Drug: Vitamin K antagonist (VKA)","Bayer|Janssen Research & Development, LLC",Phase 3,Industry,Interventional,3-Feb-15,https://ClinicalTrials.gov/show/NCT01674647
675,Urea Breath Test (UBT) With Breath Hp System /BreathID Hp Lab System Pediatrics,Completed,Has Results,Helicobacter Pylori Infection,Device: BreathID® Hp System|Drug: BreathID® Hp Lab System|Diagnostic Test: Stool Test,Exalenz Bioscience LTD.,Phase 3,Industry,Interventional,4-Jul-18,https://ClinicalTrials.gov/show/NCT02905825
676,"Efficacy, Safety, and Tolerability of Brexpiprazole (OPC-34712) as Maintenance Treatment in Adults With Schizophrenia",Completed,Has Results,Acute Schizophrenia,Drug: Brexpiprazole|Drug: Placebo,"Otsuka Pharmaceutical Development & Commercialization, Inc.|Quintiles, Inc.",Phase 3,Industry,Interventional,13-Jan-17,https://ClinicalTrials.gov/show/NCT01668797
677,Belimumab in Remission of VASculitis,Completed,Has Results,Vasculitis,Biological: Placebo|Biological: Belimumab 10 mg/kg|Drug: Azathioprine,"Human Genome Sciences Inc., a GSK Company|GlaxoSmithKline",Phase 3,Industry,Interventional,17-Apr-18,https://ClinicalTrials.gov/show/NCT01663623
678,ODYSSEY Outcomes: Evaluation of Cardiovascular Outcomes After an Acute Coronary Syndrome During Treatment With Alirocumab,Completed,Has Results,Atherosclerotic Cardiovascular Disease,Drug: Alirocumab|Drug: Placebo|Drug: LMT,Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,18-Mar-19,https://ClinicalTrials.gov/show/NCT01663402
679,Study Investigating the Safety and Efficacy of HP802-247 in the Treatment of Venous Leg Ulcers,Completed,Has Results,Venous Leg Ulcers,Biological: HP-802-247|Biological: Vehicle,"Healthpoint|Smith & Nephew, Inc.",Phase 3,Industry,Interventional,14-Mar-16,https://ClinicalTrials.gov/show/NCT01656889
680,Open Label Study of KRN23 on Osteomalacia in Adults With X-linked Hypophosphatemia (XLH),Completed,Has Results,X-linked Hypophosphatemia,Biological: burosumab,"Ultragenyx Pharmaceutical Inc|Kyowa Kirin Co., Ltd.",Phase 3,Industry,Interventional,25-Sep-18,https://ClinicalTrials.gov/show/NCT02537431
681,Efficacy and Safety of Alirocumab (SAR236553/REGN727) Versus Ezetimibe on Top of Statin in High Cardiovascular Risk Patients With Hypercholesterolemia (ODYSSEY COMBO II),Completed,Has Results,Hypercholesterolemia,Drug: Alirocumab|Drug: Placebo (for alirocumab)|Drug: Ezetimibe|Drug: Placebo (for ezetimibe)|Drug: Lipid Modifying Therapy (LMT),Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,6-Nov-15,https://ClinicalTrials.gov/show/NCT01644188
682,Efficacy and Safety of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in Patients With High Cardiovascular Risk and Hypercholesterolemia (ODYSSEY COMBO I),Completed,Has Results,Hypercholesterolemia,Drug: Placebo (for alirocumab)|Drug: Alirocumab|Drug: Lipid-Modifying Therapy (LMT),Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,6-Nov-15,https://ClinicalTrials.gov/show/NCT01644175
683,Safety and Efficacy of Linaclotide in Patients With Chronic Constipation and Prominent Abdominal Bloating,Completed,Has Results,Chronic Constipation|Constipation,Drug: Linaclotide 290 micrograms|Drug: Linaclotide 145 micrograms|Drug: Matching placebo,"Forest Laboratories|Ironwood Pharmaceuticals, Inc.",Phase 3,Industry,Interventional,26-Apr-16,https://ClinicalTrials.gov/show/NCT01642914
684,Efficacy and Safety of 2 Doses of Tiotropium Respimat® Compared to Placebo in Children With Severe Persistent Asthma,Completed,Has Results,Asthma,Drug: Placebo|Drug: Tiotropium low dose mcg|Drug: Tiotropium high dose,Boehringer Ingelheim|Pfizer,Phase 3,Industry,Interventional,21-Dec-15,https://ClinicalTrials.gov/show/NCT01634152
685,Evaluate Efficacy and Safety of Fingolimod 0.5 mg Orally Once Daily Versus Placebo in Chronic Inflammatory Demyelinating Polyradiculoneuropathy Patients.,Completed,Has Results,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,Drug: Fingolimod|Drug: Placebo Comparator,Novartis Pharmaceuticals|Mitsubishi Tanabe Pharma Corporation|Novartis,Phase 3,Industry,Interventional,19-Sep-17,https://ClinicalTrials.gov/show/NCT01625182
686,Efficacy and Safety of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in Patients With Heterozygous Familial Hypercholesterolemia Not Adequately Controlled With Their Lipid-Modifying Therapy,Completed,Has Results,Hypercholesterolemia,Drug: Alirocumab|Drug: Placebo (for alirocumab)|Drug: Lipid Modifying Therapy (LMT),Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,4-Nov-15,https://ClinicalTrials.gov/show/NCT01623115
687,Efficacy and Safety of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in Patients With Heterozygous Familial Hypercholesterolemia (ODYSSEY HIGH FH),Completed,Has Results,Hypercholesterolaemia,Drug: Alirocumab|Drug: Placebo (for alirocumab)|Drug: Lipid Modifying Therapy (LMT),Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,6-Nov-15,https://ClinicalTrials.gov/show/NCT01617655
688,"A Study of CNTO 136 (Sirukumab), a Human Anti-IL-6 Monoclonal Antibody, Administered Subcutaneously, in Patients With Active Rheumatoid Arthritis Despite Anti-TNF-Alpha Therapy (SIRROUND-T)",Completed,Has Results,"Arthritis, Rheumatoid",Drug: Placebo|Drug: Sirukumab,"Janssen Research & Development, LLC|GlaxoSmithKline",Phase 3,Industry,Interventional,5-Feb-18,https://ClinicalTrials.gov/show/NCT01606761
689,"A Study of CNTO 136 (Sirukumab), Administered Subcutaneously, in Patients With Active Rheumatoid Arthritis Despite Disease-Modifying Antirheumatic Drug (DMARD) Therapy (SIRROUND-D)",Completed,Has Results,"Arthritis, Rheumatoid",Drug: Placebo|Drug: Sirukumab,"Janssen Research & Development, LLC|GlaxoSmithKline",Phase 3,Industry,Interventional,11-Jan-18,https://ClinicalTrials.gov/show/NCT01604343
690,A Phase 3 Study of Ibrutinib (PCI-32765) Versus Ofatumumab in Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia,Completed,Has Results,Relapsed or Refractory Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma,Drug: ofatumumab|Drug: ibrutinib,"Pharmacyclics LLC.|Janssen Research & Development, LLC",Phase 3,Industry,Interventional,12-Oct-15,https://ClinicalTrials.gov/show/NCT01578707
691,Safety and Quality of Life Study of Aflibercept in Patients With Metastatic Colorectal Cancer Previously Treated With an Oxaliplatin-Based Regimen,Completed,Has Results,Colorectal Cancer Metastatic,Drug: AFLIBERCEPT AVE0005|Drug: FOLFIRI,Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,27-Feb-18,https://ClinicalTrials.gov/show/NCT01571284
692,"Efficacy, Safety, and Tolerability of an Intramuscular Formulation of Aripiprazole (OPC-14597) as Maintenance Treatment in Bipolar I Patients",Completed,Has Results,Bipolar I Disorder,Drug: Intramuscular (IM) Depot Aripiprazole|Drug: Intramuscular (IM) Depot Placebo,"Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S",Phase 3,Industry,Interventional,24-Aug-18,https://ClinicalTrials.gov/show/NCT01567527
693,Open Label Safety Study of Xerese Cream in the Treatment of Recurrent Herpes Labialis in Children 6-11 Years Old,Completed,Has Results,Herpes Labialis,Drug: acyclovir/hydrocortisone cream,"Meda Pharmaceuticals|TKL Research, Inc.",Phase 3,Industry,Interventional,22-May-14,https://ClinicalTrials.gov/show/NCT01574612
694,A Study Of Inotuzumab Ozogamicin Versus Investigator's Choice Of Chemotherapy In Patients With Relapsed Or Refractory Acute Lymphoblastic Leukemia,Completed,Has Results,Acute Lymphoblastic Leukemia,"Drug: inotuzumab ozogamicin|Drug: FLAG (fludarabine, cytarabine and G-CSF)|Drug: HIDAC (high dose cytarabine)|Drug: cytarabine and mitoxantrone",Pfizer|UCB Pharma,Phase 3,Industry,Interventional,17-Jan-18,https://ClinicalTrials.gov/show/NCT01564784
695,Use of Artefill® for Moderate to Severe Atrophic Acne Scar Correction,Completed,Has Results,Atrophic Acne Scar,Drug: Normal Saline|Device: Artefill,"Suneva Medical, Inc.|ethica Clinical Research Inc.",Phase 3,Industry,Interventional,14-Feb-17,https://ClinicalTrials.gov/show/NCT01559922
696,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) and Treatment With Subcutaneous Immunoglobulin (IgPro20),Completed,Has Results,Chronic Inflammatory Demyelinating Polyneuropathy|Polyradiculoneuropathy,Biological: IgPro20 (low dose)|Biological: Placebo|Biological: IgPro10|Biological: IgPro20 (high dose),CSL Behring|ICON Clinical Research,Phase 3,Industry,Interventional,4-Jul-18,https://ClinicalTrials.gov/show/NCT01545076
697,A Phase 3 Trial of Brentuximab Vedotin(SGN-35) Versus Physician's Choice (Methotrexate or Bexarotene) in Participants With CD30-Positive Cutaneous T-Cell Lymphoma (ALCANZA Study),Completed,Has Results,Primary Cutaneous Anaplastic Large Cell Lymphoma|Mycosis Fungoides|Cutaneous T-Cell Lymphoma,Drug: Brentuximab Vedotin|Drug: Methotrexate|Drug: Bexarotene,"Millennium Pharmaceuticals, Inc.|Seattle Genetics, Inc.|Takeda",Phase 3,Industry,Interventional,16-Mar-18,https://ClinicalTrials.gov/show/NCT01578499
698,Study to Assess the Clinical Efficacy and Safety of Intravitreal Aflibercept Injection (IAI;EYLEA®;BAY86-5321) in Patients With Branch Retinal Vein Occlusion (BRVO),Completed,Has Results,Branch Retinal Vein Occlusion,Procedure: Macular Laser Photocoagulation|Drug: Intravitreal Aflibercept Injection (IAI;EYLEA®;BAY86-5321),Regeneron Pharmaceuticals|Bayer,Phase 3,Industry,Interventional,13-Nov-14,https://ClinicalTrials.gov/show/NCT01521559
699,Phase III Study Comparing the Efficacy and Safety of LA-EP2006 and Peg-Filgrastim,Completed,Has Results,Chemotherapy-induced Neutropenia|Breast Cancer,Drug: LA-EP2006|Drug: Neulasta®,Sandoz|Sandoz GmbH,Phase 3,Industry,Interventional,28-Jun-17,https://ClinicalTrials.gov/show/NCT01516736
700,Long-term Safety and Tolerability of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in High Cardiovascular Risk Patients With Hypercholesterolemia (ODYSSEY Long Term),Completed,Has Results,Hypercholesterolemia,Drug: Placebo (for alirocumab)|Drug: Alirocumab|Drug: Lipid-Modifying Therapy (LMT),Sanofi|Regeneron Pharmaceuticals,Phase 3,Industry,Interventional,22-Dec-15,https://ClinicalTrials.gov/show/NCT01507831
701,Comparison of Efficacy and Safety of TachoSil® Versus Surgicel® Original for the Secondary Hemostatic Treatment of Needle Hole Bleeding in Vascular Surgery,Completed,Has Results,Bleeding,Drug: TachoSil®|Drug: Surgicel® Original,Takeda|Baxter Healthcare Corporation,Phase 3,Industry,Interventional,8-Feb-17,https://ClinicalTrials.gov/show/NCT01500135
702,Evaluation of Ceftaroline Fosamil Versus Vancomycin Plus Aztreonam in the Treatment of Patients With Skin Infections,Completed,Has Results,Complicated Skin and Soft Tissue Infection,Drug: Ceftaroline fosamil|Drug: Vancomycin|Drug: Aztreonam,Pfizer|Forest Laboratories,Phase 3,Industry,Interventional,9-Nov-15,https://ClinicalTrials.gov/show/NCT01499277
703,A Study of Belimumab Administered Subcutaneously in Subjects With Systemic Lupus Erythematosus (SLE),Completed,Has Results,Systemic Lupus Erythematosus,Biological: Placebo|Biological: Belimumab 200 mg SC|Drug: Standard therapy,"Human Genome Sciences Inc., a GSK Company|GlaxoSmithKline",Phase 3,Industry,Interventional,25-Jul-17,https://ClinicalTrials.gov/show/NCT01484496
704,A Phase 3 Study Comparing the Effects of Subcutaneous Epoetin Hospira and Epoetin Alfa [Epogen] (Amgen) in Patients With Chronic Renal Failure Requiring Hemodialysis and Receiving Epoetin Maintenance Treatment. AiME - Anemia Management With Epoetin,Completed,Has Results,Chronic Renal Failure|Chronic Kidney Disease,Biological: Epoetin Hospira|Biological: Epogen Amgen,"Pfizer|Hospira, now a wholly owned subsidiary of Pfizer",Phase 3,Industry,Interventional,20-Jun-18,https://ClinicalTrials.gov/show/NCT01473420
705,A Phase 3 Study Comparing the Effects of Intravenous Epoetin Hospira and Epoetin Alfa [Epogen] (Amgen) in Patients With Chronic Renal Failure Requiring Hemodialysis and Receiving Epoetin Maintenance Treatment. AiME - Anemia Management With Epoetin,Completed,Has Results,Chronic Kidney Disease|Chronic Renal Failure,Biological: Epoetin Hospira|Biological: Epogen (Amgen),"Pfizer|Hospira, now a wholly owned subsidiary of Pfizer",Phase 3,Industry,Interventional,13-Jul-18,https://ClinicalTrials.gov/show/NCT01473407
706,B. Lactis HN019 for Functional Constipation,Completed,Has Results,Constipation,Dietary Supplement: B. lactis HN019|Dietary Supplement: Placebo,Fonterra Research Centre|DuPont Nutrition and Health,Phase 3,Industry,Interventional,24-Jul-14,https://ClinicalTrials.gov/show/NCT01463293
707,"Study to Evaluate the Safety, Efficacy, and Pharmacokinetics of Recombinant Coagulation Factor VIII Fc Fusion Protein (rFVIIIFc) in Previously Treated Pediatric Subjects With Hemophilia A",Completed,Has Results,Hemophilia A,Drug: BIIB031 (rFVIIIFc)|Drug: FVIII (PK subgroup only),Bioverativ Therapeutics Inc.|Swedish Orphan Biovitrum,Phase 3,Industry,Interventional,12-Dec-14,https://ClinicalTrials.gov/show/NCT01458106
708,"Dolutegravir Compared to Darunavir/Ritonavir , Each in Combination With Dual Nucleoside Reverse Transcriptase Inhibitors (NRTIs) in ART-naive Subjects",Completed,Has Results,"Infection, Human Immunodeficiency Virus",Drug: dolutegravir 50 mg OAD|Drug: darunavir 800mg OAD|Drug: ritonavir 100mg OAD,ViiV Healthcare|GlaxoSmithKline,Phase 3,Industry,Interventional,27-Mar-14,https://ClinicalTrials.gov/show/NCT01449929
709,Evaluating Long Term Safety of Lacosamide (LCM) to Carbamazepine Controlled-release (CBZ-CR); Initial Monotherapy in Epilepsy Subjects 16 Years and Older,Completed,Has Results,Epilepsy|Monotherapy,Drug: Lacosamide|Drug: Carbamazepine-Controlled Release (CBZ-CR),UCB BIOSCIENCES GmbH|Eden Sarl|UCB Pharma,Phase 3,Industry,Interventional,2-Aug-17,https://ClinicalTrials.gov/show/NCT01465997
710,Safety and Efficacy of Cobicistat-boosted Darunavir in HIV Infected Adults,Completed,Has Results,Acquired Immunodeficiency Syndrome|HIV Infections,Drug: COBI|Drug: DRV|Drug: NRTIs,"Gilead Sciences|Janssen Research & Development, LLC",Phase 3,Industry,Interventional,28-Oct-14,https://ClinicalTrials.gov/show/NCT01440569
711,Efficacy and Safety of Empagliflozin (BI 10773) / Linagliptin (BI 1356) Fixed Dose Combination in Treatment naïve and Metformin Treated Type 2 Diabetes Patients,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: high dose FDC|Drug: BI 10773 high dose|Drug: high dose FDC placebo|Drug: low dose FDC placebo|Drug: high dose BI 10773 placebo|Drug: low dose FDC|Drug: BI 10773 low dose|Drug: linagliptin|Drug: linagliptin placebo|Drug: BI 10773 low dose placebo|Drug: low dose BI 10773 placebo,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,2-Apr-15,https://ClinicalTrials.gov/show/NCT01422876
712,A Study in Adults With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: LY2963016|Drug: Lantus|Drug: OAMs,Eli Lilly and Company|Boehringer Ingelheim,Phase 3,Industry,Interventional,9-Oct-14,https://ClinicalTrials.gov/show/NCT01421459
713,A Study in Adults With Type 1 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 1",Drug: LY2963016|Drug: Lantus|Drug: Insulin Lispro,Eli Lilly and Company|Boehringer Ingelheim,Phase 3,Industry,Interventional,9-Oct-14,https://ClinicalTrials.gov/show/NCT01421147
714,A Study of Cariprazine in the Prevention of Relapse of Symptoms in Participants With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Placebo|Drug: Cariprazine,Forest Laboratories|Gedeon Richter Ltd.,Phase 3,Industry,Interventional,6-Jul-18,https://ClinicalTrials.gov/show/NCT01412060
715,A Safety Study of Oral Netupitant and Palonosetron for the Prevention of Nausea and Vomiting,Completed,Has Results,Chemotherapy-Induced Nausea and Vomiting,Drug: Netupitant and Palonosetron|Drug: Aprepitant|Drug: Palonosetron|Drug: Dexamethasone,Helsinn Healthcare SA|Parexel,Phase 3,Industry,Interventional,17-Nov-14,https://ClinicalTrials.gov/show/NCT01376297
716,12 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Patients With Type 2 Diabetes Mellitus,Completed,Has Results,"Diabetes Mellitus, Type 2|Hypertension",Drug: Placebo|Drug: BI 10773,Boehringer Ingelheim|Eli Lilly and Company,Phase 3,Industry,Interventional,17-Jun-14,https://ClinicalTrials.gov/show/NCT01370005
