CTID,Title,Conditions,Study Type,Results First Posted,Company,Intervention
NCT02414854,Evaluation of Dupilumab in Patients With Persistent Asthma (Liberty Asthma Quest),Asthma,Interventional,23-Oct-18,Regeneron Pharmaceuticals,Drug: Inhaled corticosteroid (ICS) therapy
NCT02414854,Evaluation of Dupilumab in Patients With Persistent Asthma (Liberty Asthma Quest),Asthma,Interventional,23-Oct-18,Regeneron Pharmaceuticals,Drug: Albuterol/Salbutamol
NCT02414854,Evaluation of Dupilumab in Patients With Persistent Asthma (Liberty Asthma Quest),Asthma,Interventional,23-Oct-18,Regeneron Pharmaceuticals,Drug: Levalbuterol/Levosalbutamol
NCT02413346,A Multi-Center Open-Label Evaluation of the Safety of Sarecycline Tablets in the Treatment of Acne Vulgaris,Acne Vulgaris,Interventional,4-May-18,"Almirall, S.A.",Drug: Sarecycline
NCT02413346,A Multi-Center Open-Label Evaluation of the Safety of Sarecycline Tablets in the Treatment of Acne Vulgaris,Acne Vulgaris,Interventional,4-May-18,Allergan,Drug: Sarecycline
NCT02398188,Evaluating the Safety and Efficacy of LIPO-202 for the Reduction of Central Abdominal Bulging Due to Subcutaneous Fat (AbCONTOUR2),Central Abdominal Bulging,Interventional,7-Jan-19,Evofem Inc.,Drug: LIPO-202
NCT02398188,Evaluating the Safety and Efficacy of LIPO-202 for the Reduction of Central Abdominal Bulging Due to Subcutaneous Fat (AbCONTOUR2),Central Abdominal Bulging,Interventional,7-Jan-19,Evofem Inc.,Drug: Placebo
NCT02398188,Evaluating the Safety and Efficacy of LIPO-202 for the Reduction of Central Abdominal Bulging Due to Subcutaneous Fat (AbCONTOUR2),Central Abdominal Bulging,Interventional,7-Jan-19,"Neothetics, Inc",Drug: LIPO-202
NCT02398188,Evaluating the Safety and Efficacy of LIPO-202 for the Reduction of Central Abdominal Bulging Due to Subcutaneous Fat (AbCONTOUR2),Central Abdominal Bulging,Interventional,7-Jan-19,"Neothetics, Inc",Drug: Placebo
NCT02395653,Safety and Clinical Utility Study of SSEC Fentanyl 40 mcg for Acute Post-op Pain Management in Pediatric Participants,"Pain, Postoperative",Interventional,18-Sep-17,The Medicines Company,Drug: fentanyl
NCT02395653,Safety and Clinical Utility Study of SSEC Fentanyl 40 mcg for Acute Post-op Pain Management in Pediatric Participants,"Pain, Postoperative",Interventional,18-Sep-17,"Incline Therapeutics, Inc.",Drug: fentanyl
NCT02384460,ESSENCE Study: Efficacy and Safety of SD-101 Cream in Participants With Epidermolysis Bullosa,Epidermolysis Bullosa,Interventional,16-Oct-18,"Scioderm, Inc.",Drug: SD-101-6.0 cream
NCT02384460,ESSENCE Study: Efficacy and Safety of SD-101 Cream in Participants With Epidermolysis Bullosa,Epidermolysis Bullosa,Interventional,16-Oct-18,"Scioderm, Inc.",Drug: Placebo (SD-101-0.0) cream
NCT02384460,ESSENCE Study: Efficacy and Safety of SD-101 Cream in Participants With Epidermolysis Bullosa,Epidermolysis Bullosa,Interventional,16-Oct-18,Amicus Therapeutics,Drug: SD-101-6.0 cream
NCT02384460,ESSENCE Study: Efficacy and Safety of SD-101 Cream in Participants With Epidermolysis Bullosa,Epidermolysis Bullosa,Interventional,16-Oct-18,Amicus Therapeutics,Drug: Placebo (SD-101-0.0) cream
NCT03172481,PRC-063 Classroom Study in Children (6-12 Years of Age) With ADHD,ADHD,Interventional,4-Jun-19,"Purdue Pharma, Canada",Drug: PRC-063 oral capsules
NCT03172481,PRC-063 Classroom Study in Children (6-12 Years of Age) With ADHD,ADHD,Interventional,4-Jun-19,"Purdue Pharma, Canada",Drug: Placebo oral capsules
NCT02322866,"Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne",Acne Vulgaris,Interventional,7-May-18,"Almirall, S.A.",Drug: Sarecycline
NCT02322866,"Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne",Acne Vulgaris,Interventional,7-May-18,"Almirall, S.A.",Drug: Placebo
NCT02322866,"Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne",Acne Vulgaris,Interventional,7-May-18,Allergan,Drug: Sarecycline
NCT02322866,"Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne",Acne Vulgaris,Interventional,7-May-18,Allergan,Drug: Placebo
NCT02320149,Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne,Acne Vulgaris,Interventional,17-May-18,"Almirall, S.A.",Drug: Sarecycline
NCT02320149,Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne,Acne Vulgaris,Interventional,17-May-18,"Almirall, S.A.",Drug: Placebo
NCT02320149,Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne,Acne Vulgaris,Interventional,17-May-18,Allergan,Drug: Sarecycline
NCT02320149,Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne,Acne Vulgaris,Interventional,17-May-18,Allergan,Drug: Placebo
NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Interventional,12-Mar-19,Paion UK Ltd.,Drug: Remimazolam
NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Interventional,12-Mar-19,Paion UK Ltd.,Drug: Placebo
NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Interventional,12-Mar-19,Paion UK Ltd.,Drug: Midazolam
NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Interventional,12-Mar-19,Premier Research Group plc,Drug: Remimazolam
NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Interventional,12-Mar-19,Premier Research Group plc,Drug: Placebo
NCT02296892,A Phase III Study of Remimazolam in Patients Undergoing Bronchoscopy,Bronchoscopy,Interventional,12-Mar-19,Premier Research Group plc,Drug: Midazolam
NCT02302716,A Study of LY2963016 Compared to LANTUS® in Adult Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,24-Oct-17,Eli Lilly and Company,Drug: LY2963016
NCT02302716,A Study of LY2963016 Compared to LANTUS® in Adult Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,24-Oct-17,Eli Lilly and Company,Drug: LANTUS®
NCT02302716,A Study of LY2963016 Compared to LANTUS® in Adult Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,24-Oct-17,Eli Lilly and Company,Drug: Oral Antihyperglycemic Medication
NCT02302716,A Study of LY2963016 Compared to LANTUS® in Adult Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,24-Oct-17,Boehringer Ingelheim,Drug: LY2963016
NCT02302716,A Study of LY2963016 Compared to LANTUS® in Adult Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,24-Oct-17,Boehringer Ingelheim,Drug: LANTUS®
NCT02302716,A Study of LY2963016 Compared to LANTUS® in Adult Participants With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,24-Oct-17,Boehringer Ingelheim,Drug: Oral Antihyperglycemic Medication
NCT02291679,Trial of Linaclotide in Patients With Chronic Idiopathic Constipation,Chronic Idiopathic Constipation,Interventional,19-May-17,"Ironwood Pharmaceuticals, Inc.",Drug: Linaclotide
NCT02291679,Trial of Linaclotide in Patients With Chronic Idiopathic Constipation,Chronic Idiopathic Constipation,Interventional,19-May-17,"Ironwood Pharmaceuticals, Inc.",Drug: Matching Placebo
NCT02291679,Trial of Linaclotide in Patients With Chronic Idiopathic Constipation,Chronic Idiopathic Constipation,Interventional,19-May-17,Forest Laboratories,Drug: Linaclotide
NCT02291679,Trial of Linaclotide in Patients With Chronic Idiopathic Constipation,Chronic Idiopathic Constipation,Interventional,19-May-17,Forest Laboratories,Drug: Matching Placebo
NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Interventional,9-Nov-18,Paion UK Ltd.,Drug: Remimazolam
NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Interventional,9-Nov-18,Paion UK Ltd.,Drug: Midazolam
NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Interventional,9-Nov-18,Paion UK Ltd.,Drug: Placebo
NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Interventional,9-Nov-18,Premier Research Group plc,Drug: Remimazolam
NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Interventional,9-Nov-18,Premier Research Group plc,Drug: Midazolam
NCT02290873,A Phase III Study of the Efficacy and Safety of Remimazolam Compared to Placebo and Midazolam in Colonoscopy Patients,Colonoscopy,Interventional,9-Nov-18,Premier Research Group plc,Drug: Placebo
NCT02277769,Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,16-Oct-17,Regeneron Pharmaceuticals,Drug: Dupilumab
NCT02277769,Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,16-Oct-17,Regeneron Pharmaceuticals,Drug: Placebo (for Dupilumab)
NCT02277769,Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,16-Oct-17,Sanofi,Drug: Dupilumab
NCT02277769,Study of Dupilumab (REGN668/SAR231893) Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,16-Oct-17,Sanofi,Drug: Placebo (for Dupilumab)
NCT02277743,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,21-Nov-17,Regeneron Pharmaceuticals,Drug: Dupilumab
NCT02277743,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,21-Nov-17,Regeneron Pharmaceuticals,Drug: Placebo (for Dupilumab)
NCT02277743,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,21-Nov-17,Sanofi,Drug: Dupilumab
NCT02277743,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-Severe Atopic Dermatitis,"Dermatitis, Atopic",Interventional,21-Nov-17,Sanofi,Drug: Placebo (for Dupilumab)
NCT02660580,MSB11022 in Moderate to Severe Chronic Plaque Psoriasis,Psoriasis|Plaque Type Psoriasis|Moderate to Severe Plaque Psoriasis,Interventional,19-Feb-19,Fresenius Kabi SwissBioSim GmbH,Drug: MSB11022
NCT02660580,MSB11022 in Moderate to Severe Chronic Plaque Psoriasis,Psoriasis|Plaque Type Psoriasis|Moderate to Severe Plaque Psoriasis,Interventional,19-Feb-19,Fresenius Kabi SwissBioSim GmbH,Drug: Humira®
NCT02660580,MSB11022 in Moderate to Severe Chronic Plaque Psoriasis,Psoriasis|Plaque Type Psoriasis|Moderate to Severe Plaque Psoriasis,Interventional,19-Feb-19,"Merck KGaA, Darmstadt, Germany",Drug: MSB11022
NCT02660580,MSB11022 in Moderate to Severe Chronic Plaque Psoriasis,Psoriasis|Plaque Type Psoriasis|Moderate to Severe Plaque Psoriasis,Interventional,19-Feb-19,"Merck KGaA, Darmstadt, Germany",Drug: Humira®
NCT02269241,"Safety, Efficacy, Tolerability and Pharmacokinetics of LF111 (Drospirenone 4.0 mg) During 13 Cycles",Contraception,Interventional,23-Jul-19,"Laboratories Leon Farma, S.A.",Drug: LF111 (drospirenone)
NCT02269241,"Safety, Efficacy, Tolerability and Pharmacokinetics of LF111 (Drospirenone 4.0 mg) During 13 Cycles",Contraception,Interventional,23-Jul-19,Chemo France,Drug: LF111 (drospirenone)
NCT02269241,"Safety, Efficacy, Tolerability and Pharmacokinetics of LF111 (Drospirenone 4.0 mg) During 13 Cycles",Contraception,Interventional,23-Jul-19,Insud Pharma,Drug: LF111 (drospirenone)
NCT02268214,Dapagliflozin Evaluation in Patients With Inadequately Controlled Type 1 Diabetes,Type 1 Diabetes Mellitus,Interventional,29-Mar-18,AstraZeneca,Drug: Dapagliflozin
NCT02268214,Dapagliflozin Evaluation in Patients With Inadequately Controlled Type 1 Diabetes,Type 1 Diabetes Mellitus,Interventional,29-Mar-18,AstraZeneca,Drug: Placebo for dapagliflozin
NCT02268214,Dapagliflozin Evaluation in Patients With Inadequately Controlled Type 1 Diabetes,Type 1 Diabetes Mellitus,Interventional,29-Mar-18,Bristol-Myers Squibb,Drug: Dapagliflozin
NCT02268214,Dapagliflozin Evaluation in Patients With Inadequately Controlled Type 1 Diabetes,Type 1 Diabetes Mellitus,Interventional,29-Mar-18,Bristol-Myers Squibb,Drug: Placebo for dapagliflozin
NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Interventional,17-Oct-17,Regeneron Pharmaceuticals,Drug: Dupilumab
NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Interventional,17-Oct-17,Regeneron Pharmaceuticals,Drug: Placebo (for Dupilumab)
NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Interventional,17-Oct-17,Regeneron Pharmaceuticals,Other: Topical Corticosteroid (TCS)
NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Interventional,17-Oct-17,Sanofi,Drug: Dupilumab
NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Interventional,17-Oct-17,Sanofi,Drug: Placebo (for Dupilumab)
NCT02260986,Study to Assess the Efficacy and Long-term Safety of Dupilumab (REGN668/SAR231893) in Adult Participants With Moderate-to-Severe Atopic Dermatitis,Atopic Dermatitis,Interventional,17-Oct-17,Sanofi,Other: Topical Corticosteroid (TCS)
NCT02229227,Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,29-Jun-18,GlaxoSmithKline,Drug: Albiglutide
NCT02229227,Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,29-Jun-18,GlaxoSmithKline,Drug: Insulin Glargine and Insulin Lispro
NCT02229227,Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,29-Jun-18,PPD,Drug: Albiglutide
NCT02229227,Safety and Efficacy of Albiglutide + Insulin Glargine Versus Insulin Lispro + Insulin Glargine Subjects With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Interventional,29-Jun-18,PPD,Drug: Insulin Glargine and Insulin Lispro
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Europe B.V.,Drug: Fidaxomicin oral suspension
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Europe B.V.,Drug: Fidaxomicin tablets
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Europe B.V.,Drug: Vancomycin oral liquid
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Europe B.V.,Drug: Vancomycin capsules
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Merck Sharp & Dohme Corp.,Drug: Fidaxomicin oral suspension
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Merck Sharp & Dohme Corp.,Drug: Fidaxomicin tablets
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Merck Sharp & Dohme Corp.,Drug: Vancomycin oral liquid
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Merck Sharp & Dohme Corp.,Drug: Vancomycin capsules
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Inc,Drug: Fidaxomicin oral suspension
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Inc,Drug: Fidaxomicin tablets
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Inc,Drug: Vancomycin oral liquid
NCT02218372,A Study to Investigate the Safety and Efficacy of Fidaxomicin (Oral Suspension or Tablets) and Vancomycin (Oral Liquid or Capsules) in Pediatric Subjects With Clostridium Difficile-associated Diarrhea (CDAD),Clostridium Difficile-associated Diarrhea (CDAD),Interventional,7-Dec-18,Astellas Pharma Inc,Drug: Vancomycin capsules
NCT02196506,Study of the Safety and Efficacy of Fixed-dose Brexpiprazole (OPC-34712) as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder With and Without Anxious Distress,"Depressive Disorder|Depression|Depressive Disorder, Major|Mood Disorders|Mental Disorders",Interventional,21-Aug-18,"Otsuka Pharmaceutical Development & Commercialization, Inc.",Drug: Placebo + ADT
NCT02196506,Study of the Safety and Efficacy of Fixed-dose Brexpiprazole (OPC-34712) as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder With and Without Anxious Distress,"Depressive Disorder|Depression|Depressive Disorder, Major|Mood Disorders|Mental Disorders",Interventional,21-Aug-18,"Otsuka Pharmaceutical Development & Commercialization, Inc.",Drug: Brexpiprazole +ADT
NCT02196506,Study of the Safety and Efficacy of Fixed-dose Brexpiprazole (OPC-34712) as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder With and Without Anxious Distress,"Depressive Disorder|Depression|Depressive Disorder, Major|Mood Disorders|Mental Disorders",Interventional,21-Aug-18,H. Lundbeck A/S,Drug: Placebo + ADT
NCT02196506,Study of the Safety and Efficacy of Fixed-dose Brexpiprazole (OPC-34712) as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder With and Without Anxious Distress,"Depressive Disorder|Depression|Depressive Disorder, Major|Mood Disorders|Mental Disorders",Interventional,21-Aug-18,H. Lundbeck A/S,Drug: Brexpiprazole +ADT
NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,Interventional,6-Sep-17,Mylan Inc.,"Drug: Estradiol Vaginal Cream, 0.01%"
NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,Interventional,6-Sep-17,Mylan Inc.,Drug: Estrace® 0.01% cream
NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,Interventional,6-Sep-17,Mylan Inc.,Drug: Placebo Vaginal Cream
NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,Interventional,6-Sep-17,Mylan Pharmaceuticals,"Drug: Estradiol Vaginal Cream, 0.01%"
NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,Interventional,6-Sep-17,Mylan Pharmaceuticals,Drug: Estrace® 0.01% cream
NCT02195986,A Comparison of Estradiol Vaginal Cream to Estrace® Cream in 350 Postmenopausal Females With Atrophic Vaginitis,Atrophic Vaginitis,Interventional,6-Sep-17,Mylan Pharmaceuticals,Drug: Placebo Vaginal Cream
NCT02182830,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2|Hypertension",Interventional,31-Jul-18,Boehringer Ingelheim,Drug: Empagliflozin low dose
NCT02182830,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2|Hypertension",Interventional,31-Jul-18,Boehringer Ingelheim,Drug: placebo
NCT02182830,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2|Hypertension",Interventional,31-Jul-18,Boehringer Ingelheim,Drug: Empagliflozin high dose
NCT02182830,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2|Hypertension",Interventional,31-Jul-18,Eli Lilly and Company,Drug: Empagliflozin low dose
NCT02182830,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2|Hypertension",Interventional,31-Jul-18,Eli Lilly and Company,Drug: placebo
NCT02182830,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2|Hypertension",Interventional,31-Jul-18,Eli Lilly and Company,Drug: Empagliflozin high dose
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,AstraZeneca,Drug: Benralizumab Arm A
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,AstraZeneca,Drug: Benralizumab Arm B
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,AstraZeneca,Drug: Benralizumab Arm C
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,AstraZeneca,Drug: Placebo
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,MedImmune LLC,Drug: Benralizumab Arm A
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,MedImmune LLC,Drug: Benralizumab Arm B
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,MedImmune LLC,Drug: Benralizumab Arm C
NCT02155660,Efficacy and Safety of Benralizumab in Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD) With Exacerbation History,Moderate to Very Severe Chronic Obstructive Pulmonary Disease,Interventional,26-Jun-19,MedImmune LLC,Drug: Placebo
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Rhodes Pharmaceuticals, L.P.",Drug: Placebo
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Rhodes Pharmaceuticals, L.P.",Drug: PRC-063 25 mg
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Rhodes Pharmaceuticals, L.P.",Drug: PRC-063 45 mg
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Rhodes Pharmaceuticals, L.P.",Drug: PRC-063 70 mg
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Rhodes Pharmaceuticals, L.P.",Drug: PRC-063 100 mg
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Purdue Pharma, Canada",Drug: Placebo
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Purdue Pharma, Canada",Drug: PRC-063 25 mg
NCT02139124,The Efficacy and Safety of PRC-063 in Adult ADHD Patients,ADHD,Interventional,7-May-19,"Purdue Pharma, Canada",Drug: PRC-063 45 mg
